dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt35_context,0,context,3.5,False,False,0.10032585263252258,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.9751295336787564,3.5004,275.68,4.571,30.0
2024_gpt35_context,1,context,3.5,False,False,0.11714015156030655,0.782608695652174,0.8307692307692308,0.8059701492537313,0.9730569948186528,3.5052,275.309,4.565,30.0
2024_gpt35_context,2,context,3.5,False,False,0.11007483303546906,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.9740932642487047,3.4744,277.747,4.605,30.0
2024_gpt35_context,0,context,3.5,False,False,0.10277852416038513,0.7746478873239436,0.8461538461538461,0.8088235294117647,0.9730569948186528,3.4885,276.623,4.586,30.0
2024_gpt35_context,1,context,3.5,False,False,0.08886700123548508,0.8125,0.8,0.8062015503875969,0.9740932642487047,3.4987,275.818,4.573,30.0
2024_gpt35_context,2,context,3.5,False,False,0.10861348360776901,0.7746478873239436,0.8461538461538461,0.8088235294117647,0.9730569948186528,3.5133,274.673,4.554,30.0
2024_gpt35_context,3,context,3.5,False,False,0.1049824208021164,0.7887323943661971,0.8615384615384616,0.8235294117647058,0.9751295336787564,3.4905,276.463,4.584,30.0
2024_gpt35_context,4,context,3.5,False,False,0.08286424726247787,0.8235294117647058,0.8615384615384616,0.8421052631578948,0.9782383419689119,3.5194,274.197,4.546,30.0
2024_gpt35_context,5,context,3.5,False,False,0.10219047963619232,0.8115942028985508,0.8615384615384616,0.835820895522388,0.9772020725388602,3.4897,276.529,4.585,30.0
2024_gpt35_context,6,context,3.5,False,False,0.11204823106527328,0.7941176470588235,0.8307692307692308,0.8120300751879699,0.9740932642487047,3.4762,277.598,4.603,30.0
2024_gpt35_context,7,context,3.5,False,False,0.10920509696006775,0.7333333333333333,0.8461538461538461,0.7857142857142856,0.9689119170984456,3.5309,273.3,4.531,30.0
2024_gpt35_context,8,context,3.5,False,False,0.11726968735456467,0.7671232876712328,0.8615384615384616,0.8115942028985507,0.9730569948186528,3.4786,277.412,4.6,30.0
2024_gpt35_context,9,context,3.5,False,False,0.11878398060798645,0.7432432432432432,0.8461538461538461,0.7913669064748202,0.9699481865284975,3.4745,277.741,4.605,30.0
