dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt35_span,0,span,3.5,False,False,0.09744613617658615,0.7671232876712328,0.8615384615384616,0.8115942028985507,0.9730569948186528,3.4749,277.709,4.604,30.0
2024_gpt35_span,1,span,3.5,False,False,0.09785284101963043,0.8055555555555556,0.8923076923076924,0.8467153284671534,0.9782383419689119,3.5003,275.688,4.571,30.0
2024_gpt35_span,2,span,3.5,False,False,0.10183988511562347,0.8,0.8615384615384616,0.8296296296296297,0.9761658031088083,3.4828,277.076,4.594,30.0
2024_gpt35_span,0,span,3.5,False,False,0.0967499241232872,0.7777777777777778,0.8615384615384616,0.8175182481751826,0.9740932642487047,3.4786,277.412,4.6,30.0
2024_gpt35_span,1,span,3.5,False,False,0.08990062773227692,0.7671232876712328,0.8615384615384616,0.8115942028985507,0.9730569948186528,3.4812,277.203,4.596,30.0
2024_gpt35_span,2,span,3.5,False,False,0.07148705422878265,0.8235294117647058,0.8615384615384616,0.8421052631578948,0.9782383419689119,3.4775,277.499,4.601,30.0
2024_gpt35_span,3,span,3.5,False,False,0.08160612732172012,0.8142857142857143,0.8769230769230769,0.8444444444444444,0.9782383419689119,3.5144,274.587,4.553,30.0
2024_gpt35_span,4,span,3.5,False,False,0.0785420760512352,0.8235294117647058,0.8615384615384616,0.8421052631578948,0.9782383419689119,3.5099,274.938,4.559,30.0
2024_gpt35_span,5,span,3.5,False,False,0.09447094798088074,0.7866666666666666,0.9076923076923077,0.8428571428571429,0.9772020725388602,3.4854,276.873,4.591,30.0
2024_gpt35_span,6,span,3.5,False,False,0.09763120114803314,0.7631578947368421,0.8923076923076924,0.822695035460993,0.9740932642487047,3.4786,277.41,4.6,30.0
2024_gpt35_span,7,span,3.5,False,False,0.08690010011196136,0.8169014084507042,0.8923076923076924,0.8529411764705882,0.9792746113989638,3.4796,277.332,4.598,30.0
2024_gpt35_span,8,span,3.5,False,False,0.07666414231061935,0.8307692307692308,0.8307692307692308,0.8307692307692308,0.9772020725388602,3.4886,276.613,4.586,30.0
2024_gpt35_span,9,span,3.5,False,False,0.09092129021883011,0.7916666666666666,0.8769230769230769,0.832116788321168,0.9761658031088083,3.4664,278.386,4.616,30.0
