dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt35_span_with_context,0,span/context,3.5,False,False,0.11004724353551865,0.8055555555555556,0.8923076923076924,0.8467153284671534,0.9782383419689119,3.4891,276.577,4.586,30.0
2024_gpt35_span_with_context,1,span/context,3.5,False,False,0.10270341485738754,0.7945205479452054,0.8923076923076924,0.8405797101449275,0.9772020725388602,3.4865,276.781,4.589,30.0
2024_gpt35_span_with_context,2,span/context,3.5,False,False,0.09904804080724716,0.8260869565217391,0.8769230769230769,0.8507462686567164,0.9792746113989638,3.5042,275.382,4.566,30.0
2024_gpt35_span_with_context,0,span/context,3.5,False,False,0.11199319362640381,0.7837837837837838,0.8923076923076924,0.8345323741007195,0.9761658031088083,3.5178,274.317,4.548,30.0
2024_gpt35_span_with_context,1,span/context,3.5,False,False,0.0930946096777916,0.8382352941176471,0.8769230769230769,0.8571428571428571,0.9803108808290155,3.503,275.479,4.568,30.0
2024_gpt35_span_with_context,2,span/context,3.5,False,False,0.10942700505256653,0.7887323943661971,0.8615384615384616,0.8235294117647058,0.9751295336787564,3.5016,275.586,4.569,30.0
2024_gpt35_span_with_context,3,span/context,3.5,False,False,0.0978575199842453,0.8235294117647058,0.8615384615384616,0.8421052631578948,0.9782383419689119,3.4972,275.939,4.575,30.0
2024_gpt35_span_with_context,4,span/context,3.5,False,False,0.10247734934091568,0.7972972972972973,0.9076923076923077,0.8489208633093526,0.9782383419689119,3.5049,275.33,4.565,30.0
2024_gpt35_span_with_context,5,span/context,3.5,False,False,0.10322865098714828,0.8615384615384616,0.8615384615384616,0.8615384615384615,0.9813471502590674,3.4791,277.371,4.599,30.0
2024_gpt35_span_with_context,6,span/context,3.5,False,False,0.08559167385101318,0.8309859154929577,0.9076923076923077,0.8676470588235293,0.9813471502590674,3.4824,277.109,4.595,30.0
2024_gpt35_span_with_context,7,span/context,3.5,False,False,0.09740366786718369,0.8333333333333334,0.8461538461538461,0.8396946564885497,0.9782383419689119,3.522,273.99,4.543,30.0
2024_gpt35_span_with_context,8,span/context,3.5,False,False,0.1032024472951889,0.8,0.8615384615384616,0.8296296296296297,0.9761658031088083,3.4845,276.94,4.592,30.0
2024_gpt35_span_with_context,9,span/context,3.5,False,False,0.0979437306523323,0.8285714285714286,0.8923076923076924,0.8592592592592593,0.9803108808290155,3.4911,276.416,4.583,30.0
