dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context,0,context,4o,False,False,0.10682931542396545,0.803030303030303,0.8153846153846154,0.8091603053435115,0.9740932642487047,3.6392,265.165,4.397,30.0
2024_gpt4o_context,1,context,4o,False,False,0.12404518574476242,0.7746478873239436,0.8461538461538461,0.8088235294117647,0.9730569948186528,3.6383,265.234,4.398,30.0
2024_gpt4o_context,2,context,4o,False,False,0.11486838757991791,0.7777777777777778,0.8615384615384616,0.8175182481751826,0.9740932642487047,3.6592,263.72,4.373,30.0
2024_gpt4o_context,0,context,4o,False,False,0.12214235216379166,0.7808219178082192,0.8769230769230769,0.8260869565217391,0.9751295336787564,3.6393,265.161,4.396,30.0
2024_gpt4o_context,1,context,4o,False,False,0.125154510140419,0.7794117647058824,0.8153846153846154,0.7969924812030074,0.9720207253886011,3.6459,264.68,4.388,30.0
2024_gpt4o_context,2,context,4o,False,False,0.11145824193954468,0.782608695652174,0.8307692307692308,0.8059701492537313,0.9730569948186528,3.6388,265.199,4.397,30.0
2024_gpt4o_context,3,context,4o,False,False,0.11595815420150757,0.7777777777777778,0.8615384615384616,0.8175182481751826,0.9740932642487047,3.6509,264.316,4.382,30.0
2024_gpt4o_context,4,context,4o,False,False,0.11638440191745758,0.7808219178082192,0.8769230769230769,0.8260869565217391,0.9751295336787564,3.6686,263.046,4.361,30.0
2024_gpt4o_context,5,context,4o,False,False,0.11701951175928116,0.7746478873239436,0.8461538461538461,0.8088235294117647,0.9730569948186528,3.6478,264.545,4.386,30.0
2024_gpt4o_context,6,context,4o,False,False,0.1180562674999237,0.7714285714285715,0.8307692307692308,0.8,0.9720207253886011,3.6341,265.537,4.403,30.0
2024_gpt4o_context,7,context,4o,False,False,0.12152716517448425,0.7702702702702703,0.8769230769230769,0.8201438848920863,0.9740932642487047,3.6342,265.53,4.403,30.0
2024_gpt4o_context,8,context,4o,False,False,0.10982926189899445,0.803030303030303,0.8153846153846154,0.8091603053435115,0.9740932642487047,3.6515,264.271,4.382,30.0
2024_gpt4o_context,9,context,4o,False,False,0.12301893532276154,0.7571428571428571,0.8153846153846154,0.7851851851851851,0.9699481865284975,3.6355,265.437,4.401,30.0
