dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context_tweet_only_with_drug_dataset,0,context,No,True,False,0.12149756401777267,0.803030303030303,0.8153846153846154,0.8091603053435115,0.9740932642487047,3.4562,279.209,4.629,30.0
2024_gpt4o_context_tweet_only_with_drug_dataset,1,context,No,True,False,0.11754724383354187,0.7571428571428571,0.8153846153846154,0.7851851851851851,0.9699481865284975,3.4801,277.287,4.598,30.0
2024_gpt4o_context_tweet_only_with_drug_dataset,2,context,No,True,False,0.12984196841716766,0.7534246575342466,0.8461538461538461,0.7971014492753623,0.9709844559585492,3.4458,280.055,4.643,30.0
2024_gpt4o_context_tweet_only_with_drug_dataset,3,context,No,True,False,0.11615373194217682,0.7971014492753623,0.8461538461538461,0.8208955223880597,0.9751295336787564,3.4442,280.181,4.645,30.0
2024_gpt4o_context_tweet_only_with_drug_dataset,0,context,No,True,False,0.10114641487598419,0.8059701492537313,0.8307692307692308,0.8181818181818182,0.9751295336787564,3.4451,280.108,4.644,30.0
2024_gpt4o_context_tweet_only_with_drug_dataset,1,context,No,True,False,0.1229536235332489,0.7971014492753623,0.8461538461538461,0.8208955223880597,0.9751295336787564,3.4412,280.427,4.65,30.0
2024_gpt4o_context_tweet_only_with_drug_dataset,2,context,No,True,False,0.11915604025125504,0.75,0.8307692307692308,0.7883211678832116,0.9699481865284975,3.4635,278.618,4.62,30.0
2024_gpt4o_context_tweet_only_with_drug_dataset,3,context,No,True,False,0.10937496274709702,0.7971014492753623,0.8461538461538461,0.8208955223880597,0.9751295336787564,3.4481,279.863,4.64,30.0
2024_gpt4o_context_tweet_only_with_drug_dataset,4,context,No,True,False,0.12560172379016876,0.7714285714285715,0.8307692307692308,0.8,0.9720207253886011,3.4346,280.968,4.659,30.0
2024_gpt4o_context_tweet_only_with_drug_dataset,5,context,No,True,False,0.11437127739191055,0.8,0.8615384615384616,0.8296296296296297,0.9761658031088083,3.4471,279.949,4.642,30.0
2024_gpt4o_context_tweet_only_with_drug_dataset,6,context,No,True,False,0.11616574972867966,0.8181818181818182,0.8307692307692308,0.8244274809160306,0.9761658031088083,3.4413,280.421,4.649,30.0
2024_gpt4o_context_tweet_only_with_drug_dataset,7,context,No,True,False,0.12677772343158722,0.7333333333333333,0.8461538461538461,0.7857142857142856,0.9689119170984456,3.4607,278.846,4.623,30.0
2024_gpt4o_context_tweet_only_with_drug_dataset,8,context,No,True,False,0.1339189112186432,0.7681159420289855,0.8153846153846154,0.7910447761194029,0.9709844559585492,3.4733,277.834,4.607,30.0
2024_gpt4o_context_tweet_only_with_drug_dataset,9,context,No,True,False,0.13018685579299927,0.782608695652174,0.8307692307692308,0.8059701492537313,0.9730569948186528,3.4395,280.566,4.652,30.0
