dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,0,context,No,True,True,0.11797122657299042,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.9751295336787564,3.4448,280.129,4.645,30.0
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,1,context,No,True,True,0.10823691636323929,0.7916666666666666,0.8769230769230769,0.832116788321168,0.9761658031088083,3.4417,280.388,4.649,30.0
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,2,context,No,True,True,0.11787740886211395,0.7916666666666666,0.8769230769230769,0.832116788321168,0.9761658031088083,3.4544,279.357,4.632,30.0
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,0,context,No,True,True,0.11583071947097778,0.8,0.8615384615384616,0.8296296296296297,0.9761658031088083,3.4721,277.931,4.608,30.0
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,1,context,No,True,True,0.1253143697977066,0.7534246575342466,0.8461538461538461,0.7971014492753623,0.9709844559585492,3.4571,279.135,4.628,30.0
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,2,context,No,True,True,0.11753477156162262,0.7746478873239436,0.8461538461538461,0.8088235294117647,0.9730569948186528,3.4551,279.293,4.631,30.0
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,3,context,No,True,True,0.11522877961397171,0.8028169014084507,0.8769230769230769,0.8382352941176471,0.9772020725388602,3.4368,280.785,4.656,30.0
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,4,context,No,True,True,0.11574077606201172,0.7746478873239436,0.8461538461538461,0.8088235294117647,0.9730569948186528,3.4447,280.14,4.645,30.0
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,5,context,No,True,True,0.10711421817541122,0.7916666666666666,0.8769230769230769,0.832116788321168,0.9761658031088083,3.4771,277.532,4.602,30.0
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,6,context,No,True,True,0.12185346335172653,0.7534246575342466,0.8461538461538461,0.7971014492753623,0.9709844559585492,3.4396,280.554,4.652,30.0
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,7,context,No,True,True,0.0975734069943428,0.7605633802816901,0.8307692307692308,0.7941176470588235,0.9709844559585492,3.4579,279.075,4.627,30.0
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,8,context,No,True,True,0.11716605722904205,0.7777777777777778,0.8615384615384616,0.8175182481751826,0.9740932642487047,3.4379,280.692,4.654,30.0
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,9,context,No,True,True,0.12239567935466766,0.7638888888888888,0.8461538461538461,0.802919708029197,0.9720207253886011,3.4327,281.121,4.661,30.0
