dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context_tweet_only_with_symptom_dataset,0,context,No,False,True,0.12231563031673431,0.7466666666666667,0.8615384615384616,0.8,0.9709844559585492,3.459,278.985,4.626,30.0
2024_gpt4o_context_tweet_only_with_symptom_dataset,1,context,No,False,True,0.12389876693487167,0.75,0.8769230769230769,0.8085106382978723,0.9720207253886011,3.479,277.377,4.599,30.0
2024_gpt4o_context_tweet_only_with_symptom_dataset,2,context,No,False,True,0.09163051098585129,0.7714285714285715,0.8307692307692308,0.8,0.9720207253886011,3.4577,279.084,4.627,30.0
2024_gpt4o_context_tweet_only_with_symptom_dataset,3,context,No,False,True,0.131819948554039,0.7402597402597403,0.8769230769230769,0.8028169014084509,0.9709844559585492,3.439,280.605,4.653,30.0
2024_gpt4o_context_tweet_only_with_symptom_dataset,0,context,No,False,True,0.1114611029624939,0.7307692307692307,0.8769230769230769,0.7972027972027972,0.9699481865284975,3.4461,280.023,4.643,30.0
2024_gpt4o_context_tweet_only_with_symptom_dataset,1,context,No,False,True,0.11335182189941406,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.9740932642487047,3.4498,279.73,4.638,30.0
2024_gpt4o_context_tweet_only_with_symptom_dataset,2,context,No,False,True,0.11044275760650635,0.7567567567567568,0.8615384615384616,0.8057553956834532,0.9720207253886011,3.4767,277.562,4.602,30.0
2024_gpt4o_context_tweet_only_with_symptom_dataset,3,context,No,False,True,0.11010663211345673,0.7916666666666666,0.8769230769230769,0.832116788321168,0.9761658031088083,3.4517,279.575,4.635,30.0
2024_gpt4o_context_tweet_only_with_symptom_dataset,4,context,No,False,True,0.11876565217971802,0.7402597402597403,0.8769230769230769,0.8028169014084509,0.9709844559585492,3.4447,280.14,4.645,30.0
2024_gpt4o_context_tweet_only_with_symptom_dataset,5,context,No,False,True,0.12011786550283432,0.7671232876712328,0.8615384615384616,0.8115942028985507,0.9730569948186528,3.4693,278.157,4.612,30.0
2024_gpt4o_context_tweet_only_with_symptom_dataset,6,context,No,False,True,0.09367525577545166,0.8059701492537313,0.8307692307692308,0.8181818181818182,0.9751295336787564,3.4495,279.753,4.638,30.0
2024_gpt4o_context_tweet_only_with_symptom_dataset,7,context,No,False,True,0.10322712361812592,0.8,0.8615384615384616,0.8296296296296297,0.9761658031088083,3.4705,278.058,4.61,30.0
2024_gpt4o_context_tweet_only_with_symptom_dataset,8,context,No,False,True,0.11661674082279205,0.8088235294117647,0.8461538461538461,0.8270676691729324,0.9761658031088083,3.4711,278.009,4.609,30.0
2024_gpt4o_context_tweet_only_with_symptom_dataset,9,context,No,False,True,0.10509780794382095,0.7887323943661971,0.8615384615384616,0.8235294117647058,0.9751295336787564,3.4585,279.02,4.626,30.0
