dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context_with_drug_dataset,0,context,4o,True,False,0.10301657766103745,0.8059701492537313,0.8307692307692308,0.8181818181818182,0.9751295336787564,3.4873,276.722,4.588,30.0
2024_gpt4o_context_with_drug_dataset,1,context,4o,True,False,0.09441085904836655,0.8571428571428571,0.8307692307692308,0.84375,0.9792746113989638,3.495,276.107,4.578,30.0
2024_gpt4o_context_with_drug_dataset,2,context,4o,True,False,0.10556762665510178,0.8307692307692308,0.8307692307692308,0.8307692307692308,0.9772020725388602,3.5156,274.493,4.551,30.0
2024_gpt4o_context_with_drug_dataset,0,context,4o,True,False,0.09782398492097855,0.8181818181818182,0.8307692307692308,0.8244274809160306,0.9761658031088083,3.5262,273.662,4.537,30.0
2024_gpt4o_context_with_drug_dataset,1,context,4o,True,False,0.11410215497016907,0.8235294117647058,0.8615384615384616,0.8421052631578948,0.9782383419689119,3.4917,276.367,4.582,30.0
2024_gpt4o_context_with_drug_dataset,2,context,4o,True,False,0.11380666494369507,0.8115942028985508,0.8615384615384616,0.835820895522388,0.9772020725388602,3.4958,276.049,4.577,30.0
2024_gpt4o_context_with_drug_dataset,3,context,4o,True,False,0.12516334652900696,0.803030303030303,0.8153846153846154,0.8091603053435115,0.9740932642487047,3.4893,276.56,4.585,30.0
2024_gpt4o_context_with_drug_dataset,4,context,4o,True,False,0.10065578669309616,0.8307692307692308,0.8307692307692308,0.8307692307692308,0.9772020725388602,3.4971,275.939,4.575,30.0
2024_gpt4o_context_with_drug_dataset,5,context,4o,True,False,0.10453897714614868,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.9751295336787564,3.5156,274.49,4.551,30.0
2024_gpt4o_context_with_drug_dataset,6,context,4o,True,False,0.08698732405900955,0.8387096774193549,0.8,0.8188976377952757,0.9761658031088083,3.5257,273.707,4.538,30.0
2024_gpt4o_context_with_drug_dataset,7,context,4o,True,False,0.11544002592563629,0.782608695652174,0.8307692307692308,0.8059701492537313,0.9730569948186528,3.4859,276.83,4.59,30.0
2024_gpt4o_context_with_drug_dataset,8,context,4o,True,False,0.09191782027482986,0.84375,0.8307692307692308,0.8372093023255814,0.9782383419689119,3.5111,274.841,4.557,30.0
2024_gpt4o_context_with_drug_dataset,9,context,4o,True,False,0.10150083154439926,0.8115942028985508,0.8615384615384616,0.835820895522388,0.9772020725388602,3.4995,275.755,4.572,30.0
