dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context_with_drug_with_symptom_dataset,0,context,4o,True,True,0.11139010637998581,0.8412698412698413,0.8153846153846154,0.8281250000000001,0.9772020725388602,3.4341,281.008,4.659,30.0
2024_gpt4o_context_with_drug_with_symptom_dataset,1,context,4o,True,True,0.1143181174993515,0.8125,0.8,0.8062015503875969,0.9740932642487047,3.4472,279.935,4.641,30.0
2024_gpt4o_context_with_drug_with_symptom_dataset,2,context,4o,True,True,0.10836820304393768,0.8088235294117647,0.8461538461538461,0.8270676691729324,0.9761658031088083,3.4432,280.261,4.647,30.0
2024_gpt4o_context_with_drug_with_symptom_dataset,3,context,4o,True,True,0.09219088405370712,0.828125,0.8153846153846154,0.8217054263565892,0.9761658031088083,3.4378,280.702,4.654,30.0
2024_gpt4o_context_with_drug_with_symptom_dataset,0,context,4o,True,True,0.11089209467172623,0.8360655737704918,0.7846153846153846,0.8095238095238095,0.9751295336787564,3.4387,280.633,4.653,30.0
2024_gpt4o_context_with_drug_with_symptom_dataset,1,context,4o,True,True,0.10462458431720734,0.8387096774193549,0.8,0.8188976377952757,0.9761658031088083,3.4404,280.493,4.651,30.0
2024_gpt4o_context_with_drug_with_symptom_dataset,2,context,4o,True,True,0.09974474459886551,0.828125,0.8153846153846154,0.8217054263565892,0.9761658031088083,3.472,277.934,4.608,30.0
2024_gpt4o_context_with_drug_with_symptom_dataset,3,context,4o,True,True,0.09770303964614868,0.828125,0.8153846153846154,0.8217054263565892,0.9761658031088083,3.4868,276.761,4.589,30.0
2024_gpt4o_context_with_drug_with_symptom_dataset,4,context,4o,True,True,0.0950271412730217,0.84375,0.8307692307692308,0.8372093023255814,0.9782383419689119,3.4584,279.031,4.626,30.0
2024_gpt4o_context_with_drug_with_symptom_dataset,5,context,4o,True,True,0.0845484733581543,0.8666666666666667,0.8,0.832,0.9782383419689119,3.4462,280.02,4.643,30.0
2024_gpt4o_context_with_drug_with_symptom_dataset,6,context,4o,True,True,0.08589938282966614,0.8548387096774194,0.8153846153846154,0.8346456692913387,0.9782383419689119,3.4573,279.123,4.628,30.0
2024_gpt4o_context_with_drug_with_symptom_dataset,7,context,4o,True,True,0.09894803911447525,0.8360655737704918,0.7846153846153846,0.8095238095238095,0.9751295336787564,3.4363,280.829,4.656,30.0
2024_gpt4o_context_with_drug_with_symptom_dataset,8,context,4o,True,True,0.09359031170606613,0.8548387096774194,0.8153846153846154,0.8346456692913387,0.9782383419689119,3.4471,279.947,4.642,30.0
2024_gpt4o_context_with_drug_with_symptom_dataset,9,context,4o,True,True,0.10504872351884842,0.8208955223880597,0.8461538461538461,0.8333333333333334,0.9772020725388602,3.4461,280.024,4.643,30.0
