dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context_with_symptom_dataset,0,context,4o,False,True,0.10658735036849976,0.8,0.8,0.8000000000000002,0.9730569948186528,3.5092,274.995,4.559,30.0
2024_gpt4o_context_with_symptom_dataset,1,context,4o,False,True,0.11438410729169846,0.8181818181818182,0.8307692307692308,0.8244274809160306,0.9761658031088083,3.501,275.633,4.57,30.0
2024_gpt4o_context_with_symptom_dataset,2,context,4o,False,True,0.10168634355068207,0.8412698412698413,0.8153846153846154,0.8281250000000001,0.9772020725388602,3.4743,277.756,4.605,30.0
2024_gpt4o_context_with_symptom_dataset,0,context,4o,False,True,0.11117296665906906,0.8307692307692308,0.8307692307692308,0.8307692307692308,0.9772020725388602,3.486,276.823,4.59,30.0
2024_gpt4o_context_with_symptom_dataset,1,context,4o,False,True,0.10713569074869156,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.9751295336787564,3.4826,277.095,4.594,30.0
2024_gpt4o_context_with_symptom_dataset,2,context,4o,False,True,0.10986266285181046,0.7794117647058824,0.8153846153846154,0.7969924812030074,0.9720207253886011,3.4882,276.645,4.587,30.0
2024_gpt4o_context_with_symptom_dataset,3,context,4o,False,True,0.11254268139600754,0.7941176470588235,0.8307692307692308,0.8120300751879699,0.9740932642487047,3.493,276.267,4.581,30.0
2024_gpt4o_context_with_symptom_dataset,4,context,4o,False,True,0.10998516529798508,0.8181818181818182,0.8307692307692308,0.8244274809160306,0.9761658031088083,3.5003,275.689,4.571,30.0
2024_gpt4o_context_with_symptom_dataset,5,context,4o,False,True,0.09173791855573654,0.8307692307692308,0.8307692307692308,0.8307692307692308,0.9772020725388602,3.4891,276.576,4.586,30.0
2024_gpt4o_context_with_symptom_dataset,6,context,4o,False,True,0.10882028192281723,0.8059701492537313,0.8307692307692308,0.8181818181818182,0.9751295336787564,3.5097,274.949,4.559,30.0
2024_gpt4o_context_with_symptom_dataset,7,context,4o,False,True,0.10765489190816879,0.8307692307692308,0.8307692307692308,0.8307692307692308,0.9772020725388602,3.5142,274.604,4.553,30.0
2024_gpt4o_context_with_symptom_dataset,8,context,4o,False,True,0.11223209649324417,0.7941176470588235,0.8307692307692308,0.8120300751879699,0.9740932642487047,3.4788,277.396,4.599,30.0
2024_gpt4o_context_with_symptom_dataset,9,context,4o,False,True,0.10433409363031387,0.8524590163934426,0.8,0.8253968253968254,0.9772020725388602,3.4845,276.943,4.592,30.0
