dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_mini_context,0,context,4o-mini,False,False,0.12408033013343811,0.75,0.8307692307692308,0.7883211678832116,0.9699481865284975,3.6413,265.014,4.394,30.0
2024_gpt4o_mini_context,1,context,4o-mini,False,False,0.11410805583000183,0.7323943661971831,0.8,0.7647058823529411,0.966839378238342,3.6379,265.265,4.398,30.0
2024_gpt4o_mini_context,2,context,4o-mini,False,False,0.12383490800857544,0.7605633802816901,0.8307692307692308,0.7941176470588235,0.9709844559585492,3.666,263.231,4.364,30.0
2024_gpt4o_mini_context,0,context,4o-mini,False,False,0.10130151361227036,0.726027397260274,0.8153846153846154,0.7681159420289856,0.966839378238342,3.6499,264.394,4.384,30.0
2024_gpt4o_mini_context,1,context,4o-mini,False,False,0.12229712307453156,0.75,0.8307692307692308,0.7883211678832116,0.9699481865284975,3.6422,264.95,4.393,30.0
2024_gpt4o_mini_context,2,context,4o-mini,False,False,0.10914651304483414,0.7714285714285715,0.8307692307692308,0.8,0.9720207253886011,3.636,265.4,4.4,30.0
2024_gpt4o_mini_context,3,context,4o-mini,False,False,0.11792207509279251,0.7571428571428571,0.8153846153846154,0.7851851851851851,0.9699481865284975,3.6393,265.159,4.396,30.0
2024_gpt4o_mini_context,4,context,4o-mini,False,False,0.1161438599228859,0.7464788732394366,0.8153846153846154,0.7794117647058824,0.9689119170984456,3.6424,264.935,4.393,30.0
2024_gpt4o_mini_context,5,context,4o-mini,False,False,0.11903499066829681,0.796875,0.7846153846153846,0.7906976744186046,0.9720207253886011,3.6517,264.263,4.382,30.0
2024_gpt4o_mini_context,6,context,4o-mini,False,False,0.12544211745262146,0.7464788732394366,0.8153846153846154,0.7794117647058824,0.9689119170984456,3.6496,264.411,4.384,30.0
2024_gpt4o_mini_context,7,context,4o-mini,False,False,0.1087484285235405,0.7761194029850746,0.8,0.787878787878788,0.9709844559585492,3.6473,264.578,4.387,30.0
2024_gpt4o_mini_context,8,context,4o-mini,False,False,0.09734106808900833,0.7727272727272727,0.7846153846153846,0.7786259541984732,0.9699481865284975,3.6414,265.006,4.394,30.0
2024_gpt4o_mini_context,9,context,4o-mini,False,False,0.12453202158212662,0.7878787878787878,0.8,0.7938931297709925,0.9720207253886011,3.6206,266.527,4.419,30.0
