dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_mini_span,0,span,4o-mini,False,False,0.0875365361571312,0.8307692307692308,0.8307692307692308,0.8307692307692308,0.9772020725388602,3.6333,265.598,4.404,30.0
2024_gpt4o_mini_span,1,span,4o-mini,False,False,0.10061038285493851,0.7916666666666666,0.8769230769230769,0.832116788321168,0.9761658031088083,3.6488,264.47,4.385,30.0
2024_gpt4o_mini_span,2,span,4o-mini,False,False,0.10749316960573196,0.7887323943661971,0.8615384615384616,0.8235294117647058,0.9751295336787564,3.6681,263.078,4.362,30.0
2024_gpt4o_mini_span,0,span,4o-mini,False,False,0.10247816890478134,0.8028169014084507,0.8769230769230769,0.8382352941176471,0.9772020725388602,3.6404,265.079,4.395,30.0
2024_gpt4o_mini_span,1,span,4o-mini,False,False,0.10083509236574173,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.9740932642487047,3.6538,264.111,4.379,30.0
2024_gpt4o_mini_span,2,span,4o-mini,False,False,0.09484660625457764,0.8055555555555556,0.8923076923076924,0.8467153284671534,0.9782383419689119,3.6334,265.592,4.404,30.0
2024_gpt4o_mini_span,3,span,4o-mini,False,False,0.09879401326179504,0.8285714285714286,0.8923076923076924,0.8592592592592593,0.9803108808290155,3.6574,263.851,4.375,30.0
2024_gpt4o_mini_span,4,span,4o-mini,False,False,0.10656469315290451,0.7567567567567568,0.8615384615384616,0.8057553956834532,0.9720207253886011,3.647,264.598,4.387,30.0
2024_gpt4o_mini_span,5,span,4o-mini,False,False,0.1075141429901123,0.7671232876712328,0.8615384615384616,0.8115942028985507,0.9730569948186528,3.6634,263.416,4.368,30.0
2024_gpt4o_mini_span,6,span,4o-mini,False,False,0.09577231854200363,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.9751295336787564,3.6431,264.881,4.392,30.0
2024_gpt4o_mini_span,7,span,4o-mini,False,False,0.08250059187412262,0.8208955223880597,0.8461538461538461,0.8333333333333334,0.9772020725388602,3.6381,265.246,4.398,30.0
2024_gpt4o_mini_span,8,span,4o-mini,False,False,0.09795720875263214,0.8115942028985508,0.8615384615384616,0.835820895522388,0.9772020725388602,3.6374,265.299,4.399,30.0
2024_gpt4o_mini_span,9,span,4o-mini,False,False,0.08648792654275894,0.8028169014084507,0.8769230769230769,0.8382352941176471,0.9772020725388602,3.597,268.281,4.448,30.0
