dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_mini_span_with_context,0,span/context,4o-mini,False,False,0.10583513975143433,0.7777777777777778,0.8615384615384616,0.8175182481751826,0.9740932642487047,3.6443,264.798,4.39,30.0
2024_gpt4o_mini_span_with_context,1,span/context,4o-mini,False,False,0.11529533565044403,0.7638888888888888,0.8461538461538461,0.802919708029197,0.9720207253886011,3.6363,265.382,4.4,30.0
2024_gpt4o_mini_span_with_context,0,span/context,4o-mini,False,False,0.09503893554210663,0.7671232876712328,0.8615384615384616,0.8115942028985507,0.9730569948186528,3.6457,264.693,4.389,30.0
2024_gpt4o_mini_span_with_context,1,span/context,4o-mini,False,False,0.10803307592868805,0.7567567567567568,0.8615384615384616,0.8057553956834532,0.9720207253886011,3.6503,264.363,4.383,30.0
2024_gpt4o_mini_span_with_context,2,span/context,4o-mini,False,False,0.10352209955453873,0.803030303030303,0.8153846153846154,0.8091603053435115,0.9740932642487047,3.6428,264.903,4.392,30.0
2024_gpt4o_mini_span_with_context,3,span/context,4o-mini,False,False,0.10069884359836578,0.7971014492753623,0.8461538461538461,0.8208955223880597,0.9751295336787564,3.6636,263.399,4.367,30.0
2024_gpt4o_mini_span_with_context,4,span/context,4o-mini,False,False,0.10472380369901657,0.7941176470588235,0.8307692307692308,0.8120300751879699,0.9740932642487047,3.6429,264.9,4.392,30.0
2024_gpt4o_mini_span_with_context,5,span/context,4o-mini,False,False,0.1090002954006195,0.8307692307692308,0.8307692307692308,0.8307692307692308,0.9772020725388602,3.6716,262.825,4.358,30.0
2024_gpt4o_mini_span_with_context,6,span/context,4o-mini,False,False,0.12135319411754608,0.7571428571428571,0.8153846153846154,0.7851851851851851,0.9699481865284975,3.6582,263.79,4.374,30.0
2024_gpt4o_mini_span_with_context,7,span/context,4o-mini,False,False,0.10508348792791367,0.7794117647058824,0.8153846153846154,0.7969924812030074,0.9720207253886011,3.65,264.38,4.384,30.0
2024_gpt4o_mini_span_with_context,8,span/context,4o-mini,False,False,0.13810668885707855,0.7297297297297297,0.8307692307692308,0.7769784172661871,0.9678756476683937,3.6332,265.605,4.404,30.0
2024_gpt4o_mini_span_with_context,9,span/context,4o-mini,False,False,0.1169780045747757,0.7746478873239436,0.8461538461538461,0.8088235294117647,0.9730569948186528,3.6089,267.392,4.433,30.0
