dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span,0,span,4o,False,False,0.10207361727952957,0.782608695652174,0.8307692307692308,0.8059701492537313,0.9730569948186528,3.6419,264.972,4.393,30.0
2024_gpt4o_span,1,span,4o,False,False,0.09971442818641663,0.828125,0.8153846153846154,0.8217054263565892,0.9761658031088083,3.6498,264.4,4.384,30.0
2024_gpt4o_span,2,span,4o,False,False,0.08009394258260727,0.7746478873239436,0.8461538461538461,0.8088235294117647,0.9730569948186528,3.631,265.768,4.407,30.0
2024_gpt4o_span,0,span,4o,False,False,0.1087745651602745,0.7808219178082192,0.8769230769230769,0.8260869565217391,0.9751295336787564,3.6387,265.208,4.397,30.0
2024_gpt4o_span,1,span,4o,False,False,0.1003105491399765,0.7941176470588235,0.8307692307692308,0.8120300751879699,0.9740932642487047,3.6496,264.41,4.384,30.0
2024_gpt4o_span,2,span,4o,False,False,0.09153953194618225,0.8,0.8615384615384616,0.8296296296296297,0.9761658031088083,3.6567,263.897,4.375,30.0
2024_gpt4o_span,3,span,4o,False,False,0.09406660497188568,0.8059701492537313,0.8307692307692308,0.8181818181818182,0.9751295336787564,3.629,265.911,4.409,30.0
2024_gpt4o_span,4,span,4o,False,False,0.10722804069519043,0.8088235294117647,0.8461538461538461,0.8270676691729324,0.9761658031088083,3.6297,265.865,4.408,30.0
2024_gpt4o_span,5,span,4o,False,False,0.08168032020330429,0.803030303030303,0.8153846153846154,0.8091603053435115,0.9740932642487047,3.6355,265.439,4.401,30.0
2024_gpt4o_span,6,span,4o,False,False,0.08320648223161697,0.8125,0.8,0.8062015503875969,0.9740932642487047,3.6528,264.182,4.38,30.0
2024_gpt4o_span,7,span,4o,False,False,0.10979893803596497,0.7777777777777778,0.8615384615384616,0.8175182481751826,0.9740932642487047,3.6373,265.307,4.399,30.0
2024_gpt4o_span,8,span,4o,False,False,0.08141109347343445,0.7878787878787878,0.8,0.7938931297709925,0.9720207253886011,3.6343,265.523,4.402,30.0
2024_gpt4o_span,9,span,4o,False,False,0.09312287718057632,0.828125,0.8153846153846154,0.8217054263565892,0.9761658031088083,3.6426,264.918,4.392,30.0
