dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_tweet_only_with_drug_dataset,0,span,No,True,False,0.135260671377182,0.7681159420289855,0.8153846153846154,0.7910447761194029,0.9709844559585492,3.4933,276.243,4.58,30.0
2024_gpt4o_span_tweet_only_with_drug_dataset,1,span,No,True,False,0.11556496471166611,0.8,0.8,0.8000000000000002,0.9730569948186528,3.4541,279.378,4.632,30.0
2024_gpt4o_span_tweet_only_with_drug_dataset,2,span,No,True,False,0.12537088990211487,0.8125,0.8,0.8062015503875969,0.9740932642487047,3.4934,276.234,4.58,30.0
2024_gpt4o_span_tweet_only_with_drug_dataset,3,span,No,True,False,0.12234191596508026,0.8,0.8,0.8000000000000002,0.9730569948186528,3.4571,279.137,4.628,30.0
2024_gpt4o_span_tweet_only_with_drug_dataset,0,span,No,True,False,0.10408839583396912,0.7571428571428571,0.8153846153846154,0.7851851851851851,0.9699481865284975,3.4767,277.564,4.602,30.0
2024_gpt4o_span_tweet_only_with_drug_dataset,1,span,No,True,False,0.12033562362194061,0.7681159420289855,0.8153846153846154,0.7910447761194029,0.9709844559585492,3.4627,278.681,4.621,30.0
2024_gpt4o_span_tweet_only_with_drug_dataset,2,span,No,True,False,0.11054323613643646,0.7714285714285715,0.8307692307692308,0.8,0.9720207253886011,3.4586,279.017,4.626,30.0
2024_gpt4o_span_tweet_only_with_drug_dataset,3,span,No,True,False,0.11183863878250122,0.7432432432432432,0.8461538461538461,0.7913669064748202,0.9699481865284975,3.4871,276.737,4.588,30.0
2024_gpt4o_span_tweet_only_with_drug_dataset,4,span,No,True,False,0.08318249136209488,0.8,0.8,0.8000000000000002,0.9730569948186528,3.4754,277.669,4.604,30.0
2024_gpt4o_span_tweet_only_with_drug_dataset,5,span,No,True,False,0.11054398119449615,0.8253968253968254,0.8,0.8125,0.9751295336787564,3.4702,278.079,4.611,30.0
2024_gpt4o_span_tweet_only_with_drug_dataset,6,span,No,True,False,0.11931387335062027,0.7794117647058824,0.8153846153846154,0.7969924812030074,0.9720207253886011,3.4658,278.433,4.617,30.0
2024_gpt4o_span_tweet_only_with_drug_dataset,7,span,No,True,False,0.12594249844551086,0.7671232876712328,0.8615384615384616,0.8115942028985507,0.9730569948186528,3.4742,277.763,4.605,30.0
2024_gpt4o_span_tweet_only_with_drug_dataset,8,span,No,True,False,0.09060361981391907,0.765625,0.7538461538461538,0.7596899224806202,0.9678756476683937,3.4573,279.118,4.628,30.0
2024_gpt4o_span_tweet_only_with_drug_dataset,9,span,No,True,False,0.1274345964193344,0.8,0.8,0.8000000000000002,0.9730569948186528,3.4894,276.555,4.585,30.0
