dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,0,span,No,True,True,0.12101484835147858,0.717948717948718,0.8615384615384616,0.7832167832167831,0.9678756476683937,3.4506,279.661,4.637,30.0
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,1,span,No,True,True,0.11246157437562943,0.8088235294117647,0.8461538461538461,0.8270676691729324,0.9761658031088083,3.4558,279.243,4.63,30.0
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,2,span,No,True,True,0.10871614515781403,0.782608695652174,0.8307692307692308,0.8059701492537313,0.9730569948186528,3.4821,277.129,4.595,30.0
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,0,span,No,True,True,0.11947505921125412,0.7605633802816901,0.8307692307692308,0.7941176470588235,0.9709844559585492,3.4527,279.488,4.634,30.0
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,1,span,No,True,True,0.10669898241758347,0.7714285714285715,0.8307692307692308,0.8,0.9720207253886011,3.4485,279.832,4.64,30.0
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,2,span,No,True,True,0.10891500860452652,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.9751295336787564,3.4448,280.133,4.645,30.0
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,3,span,No,True,True,0.12319617718458176,0.7846153846153846,0.7846153846153846,0.7846153846153847,0.9709844559585492,3.4734,277.824,4.606,30.0
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,4,span,No,True,True,0.10093521326780319,0.7638888888888888,0.8461538461538461,0.802919708029197,0.9720207253886011,3.4627,278.681,4.621,30.0
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,5,span,No,True,True,0.09890863299369812,0.7605633802816901,0.8307692307692308,0.7941176470588235,0.9709844559585492,3.4611,278.815,4.623,30.0
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,6,span,No,True,True,0.10443148761987686,0.8360655737704918,0.7846153846153846,0.8095238095238095,0.9751295336787564,3.4527,279.49,4.634,30.0
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,7,span,No,True,True,0.11834532767534256,0.7681159420289855,0.8153846153846154,0.7910447761194029,0.9709844559585492,3.4539,279.392,4.632,30.0
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,8,span,No,True,True,0.1238771304488182,0.7534246575342466,0.8461538461538461,0.7971014492753623,0.9709844559585492,3.4492,279.773,4.639,30.0
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,9,span,No,True,True,0.09922746568918228,0.7910447761194029,0.8153846153846154,0.803030303030303,0.9730569948186528,3.4423,280.337,4.648,30.0
