dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_tweet_only_with_symptom_dataset,0,span,No,False,True,0.1052640900015831,0.7746478873239436,0.8461538461538461,0.8088235294117647,0.9730569948186528,3.484,276.983,4.592,30.0
2024_gpt4o_span_tweet_only_with_symptom_dataset,1,span,No,False,True,0.11558718234300613,0.7746478873239436,0.8461538461538461,0.8088235294117647,0.9730569948186528,3.4451,280.111,4.644,30.0
2024_gpt4o_span_tweet_only_with_symptom_dataset,2,span,No,False,True,0.10373631119728088,0.7638888888888888,0.8461538461538461,0.802919708029197,0.9720207253886011,3.4576,279.097,4.628,30.0
2024_gpt4o_span_tweet_only_with_symptom_dataset,0,span,No,False,True,0.10635427385568619,0.7910447761194029,0.8153846153846154,0.803030303030303,0.9730569948186528,3.4471,279.942,4.642,30.0
2024_gpt4o_span_tweet_only_with_symptom_dataset,1,span,No,False,True,0.10060130804777145,0.7681159420289855,0.8153846153846154,0.7910447761194029,0.9709844559585492,3.4481,279.866,4.64,30.0
2024_gpt4o_span_tweet_only_with_symptom_dataset,2,span,No,False,True,0.12090091407299042,0.7571428571428571,0.8153846153846154,0.7851851851851851,0.9699481865284975,3.4524,279.514,4.634,30.0
2024_gpt4o_span_tweet_only_with_symptom_dataset,3,span,No,False,True,0.12025875598192215,0.7397260273972602,0.8307692307692308,0.7826086956521738,0.9689119170984456,3.4697,278.123,4.611,30.0
2024_gpt4o_span_tweet_only_with_symptom_dataset,4,span,No,False,True,0.1145932599902153,0.803030303030303,0.8153846153846154,0.8091603053435115,0.9740932642487047,3.4802,277.284,4.597,30.0
2024_gpt4o_span_tweet_only_with_symptom_dataset,5,span,No,False,True,0.10184362530708313,0.7714285714285715,0.8307692307692308,0.8,0.9720207253886011,3.4575,279.104,4.628,30.0
2024_gpt4o_span_tweet_only_with_symptom_dataset,6,span,No,False,True,0.12212157249450684,0.782608695652174,0.8307692307692308,0.8059701492537313,0.9730569948186528,3.4516,279.581,4.636,30.0
2024_gpt4o_span_tweet_only_with_symptom_dataset,7,span,No,False,True,0.11312667280435562,0.7910447761194029,0.8153846153846154,0.803030303030303,0.9730569948186528,3.4662,278.404,4.616,30.0
2024_gpt4o_span_tweet_only_with_symptom_dataset,8,span,No,False,True,0.10316713899374008,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.9751295336787564,3.4622,278.727,4.621,30.0
2024_gpt4o_span_tweet_only_with_symptom_dataset,9,span,No,False,True,0.10909201204776764,0.8387096774193549,0.8,0.8188976377952757,0.9761658031088083,3.4709,278.026,4.61,30.0
