dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_with_context,0,span/context,4o,False,False,0.1047280877828598,0.7746478873239436,0.8461538461538461,0.8088235294117647,0.9730569948186528,3.6622,263.501,4.369,30.0
2024_gpt4o_span_with_context,1,span/context,4o,False,False,0.1076224148273468,0.8307692307692308,0.8307692307692308,0.8307692307692308,0.9772020725388602,3.6477,264.548,4.386,30.0
2024_gpt4o_span_with_context,2,span/context,4o,False,False,0.11460889130830765,0.7941176470588235,0.8307692307692308,0.8120300751879699,0.9740932642487047,3.6434,264.865,4.392,30.0
2024_gpt4o_span_with_context,0,span/context,4o,False,False,0.12386032193899155,0.7638888888888888,0.8461538461538461,0.802919708029197,0.9720207253886011,3.6443,264.799,4.39,30.0
2024_gpt4o_span_with_context,1,span/context,4o,False,False,0.10880716145038605,0.8088235294117647,0.8461538461538461,0.8270676691729324,0.9761658031088083,3.6411,265.031,4.394,30.0
2024_gpt4o_span_with_context,2,span/context,4o,False,False,0.09548301994800568,0.7714285714285715,0.8307692307692308,0.8,0.9720207253886011,3.6408,265.055,4.395,30.0
2024_gpt4o_span_with_context,3,span/context,4o,False,False,0.10762589424848557,0.8181818181818182,0.8307692307692308,0.8244274809160306,0.9761658031088083,3.6666,263.185,4.364,30.0
2024_gpt4o_span_with_context,4,span/context,4o,False,False,0.10763395577669144,0.7971014492753623,0.8461538461538461,0.8208955223880597,0.9751295336787564,3.6414,265.009,4.394,30.0
2024_gpt4o_span_with_context,5,span/context,4o,False,False,0.11716274172067642,0.8059701492537313,0.8307692307692308,0.8181818181818182,0.9751295336787564,3.6522,264.227,4.381,30.0
2024_gpt4o_span_with_context,6,span/context,4o,False,False,0.1148361787199974,0.7971014492753623,0.8461538461538461,0.8208955223880597,0.9751295336787564,3.6389,265.19,4.397,30.0
2024_gpt4o_span_with_context,7,span/context,4o,False,False,0.11831176280975342,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.9740932642487047,3.6651,263.293,4.365,30.0
2024_gpt4o_span_with_context,8,span/context,4o,False,False,0.10368473827838898,0.8088235294117647,0.8461538461538461,0.8270676691729324,0.9761658031088083,3.6462,264.66,4.388,30.0
2024_gpt4o_span_with_context,9,span/context,4o,False,False,0.09893283247947693,0.8208955223880597,0.8461538461538461,0.8333333333333334,0.9772020725388602,3.6447,264.771,4.39,30.0
