dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_with_drug_dataset,0,span,4o,True,False,0.09232442080974579,0.8,0.8615384615384616,0.8296296296296297,0.9761658031088083,3.4372,280.752,4.655,30.0
2024_gpt4o_span_with_drug_dataset,1,span,4o,True,False,0.08088385313749313,0.7971014492753623,0.8461538461538461,0.8208955223880597,0.9751295336787564,3.4423,280.334,4.648,30.0
2024_gpt4o_span_with_drug_dataset,2,span,4o,True,False,0.10437377542257309,0.7941176470588235,0.8307692307692308,0.8120300751879699,0.9740932642487047,3.4402,280.504,4.651,30.0
2024_gpt4o_span_with_drug_dataset,0,span,4o,True,False,0.09047103673219681,0.8412698412698413,0.8153846153846154,0.8281250000000001,0.9772020725388602,3.4407,280.47,4.65,30.0
2024_gpt4o_span_with_drug_dataset,1,span,4o,True,False,0.08813527971506119,0.7910447761194029,0.8153846153846154,0.803030303030303,0.9730569948186528,3.4499,279.718,4.638,30.0
2024_gpt4o_span_with_drug_dataset,2,span,4o,True,False,0.08100906759500504,0.7971014492753623,0.8461538461538461,0.8208955223880597,0.9751295336787564,3.4325,281.134,4.661,30.0
2024_gpt4o_span_with_drug_dataset,3,span,4o,True,False,0.10064776986837387,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.9740932642487047,3.468,278.259,4.614,30.0
2024_gpt4o_span_with_drug_dataset,4,span,4o,True,False,0.09215208142995834,0.7714285714285715,0.8307692307692308,0.8,0.9720207253886011,3.4467,279.975,4.642,30.0
2024_gpt4o_span_with_drug_dataset,5,span,4o,True,False,0.07728558778762817,0.7910447761194029,0.8153846153846154,0.803030303030303,0.9730569948186528,3.4528,279.484,4.634,30.0
2024_gpt4o_span_with_drug_dataset,6,span,4o,True,False,0.09794921427965164,0.7887323943661971,0.8615384615384616,0.8235294117647058,0.9751295336787564,3.4557,279.246,4.63,30.0
2024_gpt4o_span_with_drug_dataset,7,span,4o,True,False,0.0823611170053482,0.7941176470588235,0.8307692307692308,0.8120300751879699,0.9740932642487047,3.4395,280.561,4.652,30.0
2024_gpt4o_span_with_drug_dataset,8,span,4o,True,False,0.07729130238294601,0.803030303030303,0.8153846153846154,0.8091603053435115,0.9740932642487047,3.4407,280.467,4.65,30.0
2024_gpt4o_span_with_drug_dataset,9,span,4o,True,False,0.10229626297950745,0.8208955223880597,0.8461538461538461,0.8333333333333334,0.9772020725388602,3.4489,279.796,4.639,30.0
