dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_with_drug_with_symptom_dataset,0,span,4o,True,True,0.09905320405960083,0.803030303030303,0.8153846153846154,0.8091603053435115,0.9740932642487047,3.4727,277.879,4.607,30.0
2024_gpt4o_span_with_drug_with_symptom_dataset,1,span,4o,True,True,0.10666780918836594,0.7702702702702703,0.8769230769230769,0.8201438848920863,0.9740932642487047,3.457,279.14,4.628,30.0
2024_gpt4o_span_with_drug_with_symptom_dataset,2,span,4o,True,True,0.092048279941082,0.7605633802816901,0.8307692307692308,0.7941176470588235,0.9709844559585492,3.4648,278.517,4.618,30.0
2024_gpt4o_span_with_drug_with_symptom_dataset,3,span,4o,True,True,0.07414127141237259,0.8181818181818182,0.8307692307692308,0.8244274809160306,0.9761658031088083,3.481,277.222,4.596,30.0
2024_gpt4o_span_with_drug_with_symptom_dataset,0,span,4o,True,True,0.09960813820362091,0.7910447761194029,0.8153846153846154,0.803030303030303,0.9730569948186528,3.4788,277.392,4.599,30.0
2024_gpt4o_span_with_drug_with_symptom_dataset,1,span,4o,True,True,0.082321897149086,0.8059701492537313,0.8307692307692308,0.8181818181818182,0.9751295336787564,3.477,277.536,4.602,30.0
2024_gpt4o_span_with_drug_with_symptom_dataset,2,span,4o,True,True,0.09022603929042816,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.9751295336787564,3.4665,278.378,4.616,30.0
2024_gpt4o_span_with_drug_with_symptom_dataset,3,span,4o,True,True,0.08747238665819168,0.8412698412698413,0.8153846153846154,0.8281250000000001,0.9772020725388602,3.4955,276.069,4.577,30.0
2024_gpt4o_span_with_drug_with_symptom_dataset,4,span,4o,True,True,0.09857737272977829,0.7746478873239436,0.8461538461538461,0.8088235294117647,0.9730569948186528,3.4707,278.043,4.61,30.0
2024_gpt4o_span_with_drug_with_symptom_dataset,5,span,4o,True,True,0.0782930999994278,0.803030303030303,0.8153846153846154,0.8091603053435115,0.9740932642487047,3.4785,277.422,4.6,30.0
2024_gpt4o_span_with_drug_with_symptom_dataset,6,span,4o,True,True,0.07332592457532883,0.8412698412698413,0.8153846153846154,0.8281250000000001,0.9772020725388602,3.4945,276.145,4.579,30.0
2024_gpt4o_span_with_drug_with_symptom_dataset,7,span,4o,True,True,0.08001808822154999,0.8059701492537313,0.8307692307692308,0.8181818181818182,0.9751295336787564,3.4649,278.506,4.618,30.0
2024_gpt4o_span_with_drug_with_symptom_dataset,8,span,4o,True,True,0.082326740026474,0.8360655737704918,0.7846153846153846,0.8095238095238095,0.9751295336787564,3.4897,276.528,4.585,30.0
2024_gpt4o_span_with_drug_with_symptom_dataset,9,span,4o,True,True,0.10654209554195404,0.8059701492537313,0.8307692307692308,0.8181818181818182,0.9751295336787564,3.4618,278.758,4.622,30.0
