dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_with_symptom_dataset,0,span,4o,False,True,0.09475770592689514,0.7567567567567568,0.8615384615384616,0.8057553956834532,0.9720207253886011,3.4527,279.491,4.634,30.0
2024_gpt4o_span_with_symptom_dataset,1,span,4o,False,True,0.08469055593013763,0.7714285714285715,0.8307692307692308,0.8,0.9720207253886011,3.4621,278.731,4.621,30.0
2024_gpt4o_span_with_symptom_dataset,2,span,4o,False,True,0.09576338529586792,0.7534246575342466,0.8461538461538461,0.7971014492753623,0.9709844559585492,3.4826,277.094,4.594,30.0
2024_gpt4o_span_with_symptom_dataset,3,span,4o,False,True,0.08850624412298203,0.782608695652174,0.8307692307692308,0.8059701492537313,0.9730569948186528,3.4468,279.972,4.642,30.0
2024_gpt4o_span_with_symptom_dataset,0,span,4o,False,True,0.08404401689767838,0.782608695652174,0.8307692307692308,0.8059701492537313,0.9730569948186528,3.4549,279.31,4.631,30.0
2024_gpt4o_span_with_symptom_dataset,1,span,4o,False,True,0.0827038586139679,0.8095238095238095,0.7846153846153846,0.7968749999999999,0.9730569948186528,3.4859,276.827,4.59,30.0
2024_gpt4o_span_with_symptom_dataset,2,span,4o,False,True,0.092948779463768,0.7631578947368421,0.8923076923076924,0.822695035460993,0.9740932642487047,3.465,278.498,4.618,30.0
2024_gpt4o_span_with_symptom_dataset,3,span,4o,False,True,0.08323708176612854,0.7714285714285715,0.8307692307692308,0.8,0.9720207253886011,3.453,279.463,4.634,30.0
2024_gpt4o_span_with_symptom_dataset,4,span,4o,False,True,0.09850158542394638,0.7971014492753623,0.8461538461538461,0.8208955223880597,0.9751295336787564,3.464,278.578,4.619,30.0
2024_gpt4o_span_with_symptom_dataset,5,span,4o,False,True,0.09364520013332367,0.7714285714285715,0.8307692307692308,0.8,0.9720207253886011,3.4711,278.011,4.61,30.0
2024_gpt4o_span_with_symptom_dataset,6,span,4o,False,True,0.09573765099048615,0.7368421052631579,0.8615384615384616,0.7943262411347517,0.9699481865284975,3.4634,278.627,4.62,30.0
2024_gpt4o_span_with_symptom_dataset,7,span,4o,False,True,0.09754837304353714,0.7638888888888888,0.8461538461538461,0.802919708029197,0.9720207253886011,3.4573,279.122,4.628,30.0
2024_gpt4o_span_with_symptom_dataset,8,span,4o,False,True,0.09256377071142197,0.803030303030303,0.8153846153846154,0.8091603053435115,0.9740932642487047,3.4654,278.464,4.617,30.0
2024_gpt4o_span_with_symptom_dataset,9,span,4o,False,True,0.0876787081360817,0.7777777777777778,0.8615384615384616,0.8175182481751826,0.9740932642487047,3.4917,276.37,4.582,30.0
