dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_tweet_only,0,None,No,False,False,0.11407636851072311,0.8059701492537313,0.8307692307692308,0.8181818181818182,0.9751295336787564,3.4742,277.76,4.605,30.0
2024_tweet_only,1,None,No,False,False,0.10060184448957443,0.8412698412698413,0.8153846153846154,0.8281250000000001,0.9772020725388602,3.4671,278.329,4.615,30.0
2024_tweet_only,2,None,No,False,False,0.11040806025266647,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.9751295336787564,3.4799,277.304,4.598,30.0
2024_tweet_only,0,None,No,False,False,0.1151750460267067,0.7910447761194029,0.8153846153846154,0.803030303030303,0.9730569948186528,3.4637,278.601,4.619,30.0
2024_tweet_only,1,None,No,False,False,0.10520155727863312,0.8088235294117647,0.8461538461538461,0.8270676691729324,0.9761658031088083,3.4598,278.92,4.625,30.0
2024_tweet_only,2,None,No,False,False,0.11795469373464584,0.8253968253968254,0.8,0.8125,0.9751295336787564,3.4595,278.94,4.625,30.0
2024_tweet_only,3,None,No,False,False,0.1125873327255249,0.7794117647058824,0.8153846153846154,0.7969924812030074,0.9720207253886011,3.4757,277.639,4.603,30.0
2024_tweet_only,4,None,No,False,False,0.1081024780869484,0.828125,0.8153846153846154,0.8217054263565892,0.9761658031088083,3.4742,277.765,4.605,30.0
2024_tweet_only,5,None,No,False,False,0.13287143409252167,0.75,0.8307692307692308,0.7883211678832116,0.9699481865284975,3.481,277.222,4.596,30.0
2024_tweet_only,6,None,No,False,False,0.11786416172981262,0.7536231884057971,0.8,0.7761194029850746,0.9689119170984456,3.4712,277.998,4.609,30.0
2024_tweet_only,7,None,No,False,False,0.11891511082649231,0.7910447761194029,0.8153846153846154,0.803030303030303,0.9730569948186528,3.4865,276.784,4.589,30.0
2024_tweet_only,8,None,No,False,False,0.10868232697248459,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.9751295336787564,3.4523,279.525,4.635,30.0
2024_tweet_only,9,None,No,False,False,0.11558584868907928,0.8064516129032258,0.7692307692307693,0.7874015748031495,0.9720207253886011,3.4604,278.872,4.624,30.0
