dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt35_context,0,context,3.5,False,False,0.11044681817293167,0.7,0.6461538461538462,0.6719999999999999,0.9575129533678757,2.5923,372.257,6.172,30.0
2024_gpt35_context,1,context,3.5,False,False,0.10625220090150833,0.6129032258064516,0.5846153846153846,0.5984251968503937,0.9471502590673575,1.4343,672.817,11.156,30.0
2024_gpt35_context,2,context,3.5,False,False,0.1125807985663414,0.6909090909090909,0.5846153846153846,0.6333333333333333,0.9544041450777202,2.6192,368.43,6.109,30.0
2024_gpt35_context,3,context,3.5,False,False,0.1041131243109703,0.6724137931034483,0.6,0.6341463414634146,0.9533678756476683,2.5832,373.572,6.194,30.0
2024_gpt35_context,4,context,3.5,False,False,0.10418542474508286,0.6833333333333333,0.6307692307692307,0.6559999999999999,0.9554404145077721,2.6217,368.086,6.103,30.0
2024_gpt35_context,5,context,3.5,False,False,0.11279682070016861,0.6119402985074627,0.6307692307692307,0.6212121212121212,0.9481865284974094,2.6125,369.375,6.124,30.0
2024_gpt35_context,6,context,3.5,False,False,0.11600595712661743,0.7037037037037037,0.5846153846153846,0.638655462184874,0.9554404145077721,2.6201,368.301,6.107,30.0
2024_gpt35_context,7,context,3.5,False,False,0.10872158408164978,0.6896551724137931,0.6153846153846154,0.6504065040650407,0.9554404145077721,2.6019,370.881,6.149,30.0
2024_gpt35_context,8,context,3.5,False,False,0.11206939071416855,0.640625,0.6307692307692307,0.6356589147286822,0.9512953367875647,2.6118,369.477,6.126,30.0
2024_gpt35_context,9,context,3.5,False,False,0.10689809173345566,0.7413793103448276,0.6615384615384615,0.6991869918699186,0.9616580310880829,2.5904,372.536,6.177,30.0
