dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt35_span,0,span,3.5,False,False,0.11629175394773483,0.5769230769230769,0.6923076923076923,0.6293706293706293,0.9450777202072539,2.5794,374.118,6.203,30.0
2024_gpt35_span,1,span,3.5,False,False,0.1233384981751442,0.6091954022988506,0.8153846153846154,0.6973684210526315,0.9523316062176166,2.622,368.043,6.102,30.0
2024_gpt35_span,2,span,3.5,False,False,0.11987445503473282,0.6103896103896104,0.7230769230769231,0.6619718309859155,0.950259067357513,2.637,365.942,6.067,30.0
2024_gpt35_span,3,span,3.5,False,False,0.11281955242156982,0.625,0.46153846153846156,0.5309734513274336,0.9450777202072539,2.6036,370.635,6.145,30.0
2024_gpt35_span,4,span,3.5,False,False,0.12053464353084564,0.68,0.5230769230769231,0.591304347826087,0.9512953367875647,2.6118,369.48,6.126,30.0
2024_gpt35_span,5,span,3.5,False,False,0.12287561595439911,0.6052631578947368,0.7076923076923077,0.6524822695035462,0.9492227979274611,2.5981,371.432,6.158,30.0
2024_gpt35_span,6,span,3.5,False,False,0.11925956606864929,0.6307692307692307,0.6307692307692307,0.6307692307692307,0.950259067357513,2.6231,367.887,6.1,30.0
2024_gpt35_span,7,span,3.5,False,False,0.11664066463708878,0.5875,0.7230769230769231,0.6482758620689656,0.9471502590673575,2.6353,366.189,6.072,30.0
2024_gpt35_span,8,span,3.5,False,False,0.11282487213611603,0.5949367088607594,0.7230769230769231,0.6527777777777777,0.9481865284974094,2.6245,367.688,6.096,30.0
2024_gpt35_span,9,span,3.5,False,False,0.11602536588907242,0.6,0.6,0.6,0.9461139896373058,2.5738,374.926,6.216,30.0
