dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt35_span_with_context,0,span/context,3.5,False,False,0.11340481787919998,0.7058823529411765,0.5538461538461539,0.6206896551724139,0.9544041450777202,2.5838,373.477,6.192,30.0
2024_gpt35_span_with_context,1,span/context,3.5,False,False,0.1245575100183487,0.6440677966101694,0.5846153846153846,0.6129032258064516,0.950259067357513,2.6042,370.548,6.144,30.0
2024_gpt35_span_with_context,2,span/context,3.5,False,False,0.11226221919059753,0.6052631578947368,0.7076923076923077,0.6524822695035462,0.9492227979274611,2.6424,365.202,6.055,30.0
2024_gpt35_span_with_context,3,span/context,3.5,False,False,0.10901080071926117,0.671875,0.6615384615384615,0.6666666666666667,0.9554404145077721,2.5702,375.454,6.225,30.0
2024_gpt35_span_with_context,4,span/context,3.5,False,False,0.12056449800729752,0.6923076923076923,0.5538461538461539,0.6153846153846154,0.9533678756476683,2.6395,365.606,6.062,30.0
2024_gpt35_span_with_context,5,span/context,3.5,False,False,0.11115904152393341,0.6666666666666666,0.6153846153846154,0.64,0.9533678756476683,2.6116,369.504,6.126,30.0
2024_gpt35_span_with_context,6,span/context,3.5,False,False,0.11294793337583542,0.6290322580645161,0.6,0.6141732283464566,0.9492227979274611,2.6152,368.991,6.118,30.0
2024_gpt35_span_with_context,7,span/context,3.5,False,False,0.11964792758226395,0.6,0.6923076923076923,0.6428571428571429,0.9481865284974094,2.6172,368.712,6.113,30.0
2024_gpt35_span_with_context,8,span/context,3.5,False,False,0.12025637924671173,0.6538461538461539,0.5230769230769231,0.5811965811965812,0.9492227979274611,2.6277,367.243,6.089,30.0
2024_gpt35_span_with_context,9,span/context,3.5,False,False,0.10942371934652328,0.68,0.5230769230769231,0.591304347826087,0.9512953367875647,2.6314,366.725,6.08,30.0
