dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context,0,context,4o,False,False,0.12422493100166321,0.6896551724137931,0.6153846153846154,0.6504065040650407,0.9554404145077721,2.7237,354.296,5.874,30.0
2024_gpt4o_context,1,context,4o,False,False,0.11510203033685684,0.75,0.6,0.6666666666666665,0.9595854922279793,2.7415,351.996,5.836,30.0
2024_gpt4o_context,2,context,4o,False,False,0.11121473461389542,0.75,0.6461538461538462,0.694214876033058,0.9616580310880829,2.7053,356.708,5.914,30.0
2024_gpt4o_context,3,context,4o,False,False,0.12554016709327698,0.8,0.6153846153846154,0.6956521739130435,0.9637305699481865,2.7183,355.002,5.886,30.0
2024_gpt4o_context,4,context,4o,False,False,0.12311453372240067,0.7068965517241379,0.6307692307692307,0.6666666666666666,0.9575129533678757,2.7443,351.635,5.83,30.0
2024_gpt4o_context,5,context,4o,False,False,0.13597339391708374,0.711864406779661,0.6461538461538462,0.6774193548387097,0.9585492227979274,2.7368,352.597,5.846,30.0
2024_gpt4o_context,6,context,4o,False,False,0.12964998185634613,0.7959183673469388,0.6,0.6842105263157895,0.9626943005181348,2.7579,349.908,5.802,30.0
2024_gpt4o_context,7,context,4o,False,False,0.12001730501651764,0.7321428571428571,0.6307692307692307,0.6776859504132231,0.9595854922279793,2.7268,353.9,5.868,30.0
2024_gpt4o_context,8,context,4o,False,False,0.11851001530885696,0.7924528301886793,0.6461538461538462,0.711864406779661,0.9647668393782384,2.7654,348.957,5.786,30.0
2024_gpt4o_context,9,context,4o,False,False,0.13881655037403107,0.7142857142857143,0.6153846153846154,0.6611570247933884,0.9575129533678757,2.7577,349.928,5.802,30.0
