dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context_tweet_only_with_drug_dataset,0,context,No,True,False,0.12942706048488617,0.6511627906976745,0.4307692307692308,0.5185185185185186,0.9461139896373058,2.5677,375.826,6.231,30.0
2024_gpt4o_context_tweet_only_with_drug_dataset,1,context,No,True,False,0.13731132447719574,0.6376811594202898,0.676923076923077,0.6567164179104477,0.9523316062176166,2.5569,377.412,6.258,30.0
2024_gpt4o_context_tweet_only_with_drug_dataset,2,context,No,True,False,0.12957720458507538,0.639344262295082,0.6,0.619047619047619,0.950259067357513,2.5638,376.389,6.241,30.0
2024_gpt4o_context_tweet_only_with_drug_dataset,3,context,No,True,False,0.12481778860092163,0.6727272727272727,0.5692307692307692,0.6166666666666667,0.9523316062176166,2.5254,382.117,6.336,30.0
2024_gpt4o_context_tweet_only_with_drug_dataset,4,context,No,True,False,0.1317981630563736,0.6086956521739131,0.4307692307692308,0.5045045045045046,0.9430051813471503,2.5848,373.329,6.19,30.0
2024_gpt4o_context_tweet_only_with_drug_dataset,5,context,No,True,False,0.13382166624069214,0.6440677966101694,0.5846153846153846,0.6129032258064516,0.950259067357513,1.2597,766.064,12.702,30.0
2024_gpt4o_context_tweet_only_with_drug_dataset,6,context,No,True,False,0.1285104751586914,0.7560975609756098,0.47692307692307695,0.5849056603773585,0.9544041450777202,2.5578,377.271,6.255,30.0
2024_gpt4o_context_tweet_only_with_drug_dataset,7,context,No,True,False,0.1225508451461792,0.7391304347826086,0.5230769230769231,0.6126126126126126,0.9554404145077721,2.5648,376.249,6.238,30.0
2024_gpt4o_context_tweet_only_with_drug_dataset,8,context,No,True,False,0.13457296788692474,0.5970149253731343,0.6153846153846154,0.606060606060606,0.9461139896373058,2.6071,370.146,6.137,30.0
2024_gpt4o_context_tweet_only_with_drug_dataset,9,context,No,True,False,0.12224423885345459,0.6785714285714286,0.5846153846153846,0.6280991735537191,0.9533678756476683,2.5667,375.963,6.234,30.0
