dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,0,context,No,True,True,0.12055361270904541,0.782608695652174,0.5538461538461539,0.6486486486486487,0.9595854922279793,2.5592,377.07,6.252,30.0
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,1,context,No,True,True,0.125945582985878,0.66,0.5076923076923077,0.5739130434782608,0.9492227979274611,2.5505,378.357,6.273,30.0
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,2,context,No,True,True,0.12865673005580902,0.6206896551724138,0.5538461538461539,0.5853658536585366,0.9471502590673575,2.56,376.947,6.25,30.0
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,3,context,No,True,True,0.1280672252178192,0.6551724137931034,0.5846153846153846,0.6178861788617886,0.9512953367875647,2.5497,378.471,6.275,30.0
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,4,context,No,True,True,0.12347346544265747,0.6666666666666666,0.5846153846153846,0.6229508196721312,0.9523316062176166,2.6144,369.114,6.12,30.0
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,5,context,No,True,True,0.11999600380659103,0.6666666666666666,0.6153846153846154,0.64,0.9533678756476683,2.538,380.221,6.304,30.0
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,6,context,No,True,True,0.14030875265598297,0.6666666666666666,0.46153846153846156,0.5454545454545455,0.9481865284974094,2.5842,373.423,6.191,30.0
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,7,context,No,True,True,0.12442140281200409,0.7142857142857143,0.6153846153846154,0.6611570247933884,0.9575129533678757,2.556,377.537,6.26,30.0
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,8,context,No,True,True,0.11919320374727249,0.7068965517241379,0.6307692307692307,0.6666666666666666,0.9575129533678757,2.5705,375.411,6.224,30.0
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,9,context,No,True,True,0.13050341606140137,0.782608695652174,0.5538461538461539,0.6486486486486487,0.9595854922279793,2.5166,383.453,6.358,30.0
