dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context_tweet_only_with_symptom_dataset,0,context,No,False,True,0.1352476328611374,0.6829268292682927,0.4307692307692308,0.5283018867924528,0.9481865284974094,2.5606,376.859,6.248,30.0
2024_gpt4o_context_tweet_only_with_symptom_dataset,1,context,No,False,True,0.13184985518455505,0.673469387755102,0.5076923076923077,0.5789473684210525,0.950259067357513,2.5392,380.036,6.301,30.0
2024_gpt4o_context_tweet_only_with_symptom_dataset,2,context,No,False,True,0.13604924082756042,0.6415094339622641,0.5230769230769231,0.5762711864406779,0.9481865284974094,2.6045,370.514,6.143,30.0
2024_gpt4o_context_tweet_only_with_symptom_dataset,3,context,No,False,True,0.12873181700706482,0.6976744186046512,0.46153846153846156,0.5555555555555556,0.950259067357513,2.5663,376.027,6.235,30.0
2024_gpt4o_context_tweet_only_with_symptom_dataset,4,context,No,False,True,0.12264344096183777,0.7307692307692307,0.5846153846153846,0.6495726495726495,0.9575129533678757,2.5398,379.956,6.3,30.0
2024_gpt4o_context_tweet_only_with_symptom_dataset,5,context,No,False,True,0.12475094199180603,0.6078431372549019,0.47692307692307695,0.5344827586206896,0.944041450777202,2.5503,378.388,6.274,30.0
2024_gpt4o_context_tweet_only_with_symptom_dataset,6,context,No,False,True,0.1350952833890915,0.6590909090909091,0.4461538461538462,0.5321100917431192,0.9471502590673575,2.535,380.674,6.312,30.0
2024_gpt4o_context_tweet_only_with_symptom_dataset,7,context,No,False,True,0.125857874751091,0.6129032258064516,0.5846153846153846,0.5984251968503937,0.9471502590673575,2.5938,372.047,6.169,30.0
2024_gpt4o_context_tweet_only_with_symptom_dataset,8,context,No,False,True,0.13372421264648438,0.7058823529411765,0.5538461538461539,0.6206896551724139,0.9544041450777202,2.5913,372.397,6.174,30.0
2024_gpt4o_context_tweet_only_with_symptom_dataset,9,context,No,False,True,0.12372954934835434,0.6727272727272727,0.5692307692307692,0.6166666666666667,0.9523316062176166,2.5694,375.57,6.227,30.0
