dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context_with_drug_dataset,0,context,4o,True,False,0.11717582494020462,0.7049180327868853,0.6615384615384615,0.6825396825396826,0.9585492227979274,2.6211,368.172,6.104,30.0
2024_gpt4o_context_with_drug_dataset,1,context,4o,True,False,0.12948568165302277,0.6825396825396826,0.6615384615384615,0.671875,0.9564766839378238,2.6108,369.615,6.128,30.0
2024_gpt4o_context_with_drug_dataset,2,context,4o,True,False,0.11665936559438705,0.6885245901639344,0.6461538461538462,0.6666666666666666,0.9564766839378238,2.6161,368.866,6.116,30.0
2024_gpt4o_context_with_drug_dataset,3,context,4o,True,False,0.12924940884113312,0.7924528301886793,0.6461538461538462,0.711864406779661,0.9647668393782384,2.6273,367.298,6.09,30.0
2024_gpt4o_context_with_drug_dataset,4,context,4o,True,False,0.1114925891160965,0.7333333333333333,0.676923076923077,0.7040000000000001,0.9616580310880829,2.622,368.044,6.102,30.0
2024_gpt4o_context_with_drug_dataset,5,context,4o,True,False,0.12361866235733032,0.7368421052631579,0.6461538461538462,0.6885245901639344,0.960621761658031,2.5768,374.49,6.209,30.0
2024_gpt4o_context_with_drug_dataset,6,context,4o,True,False,0.11888772994279861,0.7049180327868853,0.6615384615384615,0.6825396825396826,0.9585492227979274,2.614,369.166,6.121,30.0
2024_gpt4o_context_with_drug_dataset,7,context,4o,True,False,0.12536568939685822,0.7272727272727273,0.6153846153846154,0.6666666666666667,0.9585492227979274,2.6368,365.98,6.068,30.0
2024_gpt4o_context_with_drug_dataset,8,context,4o,True,False,0.11609076708555222,0.7049180327868853,0.6615384615384615,0.6825396825396826,0.9585492227979274,2.5701,375.475,6.225,30.0
2024_gpt4o_context_with_drug_dataset,9,context,4o,True,False,0.12298080325126648,0.6875,0.676923076923077,0.6821705426356589,0.9575129533678757,2.5882,372.84,6.182,30.0
