dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context_with_drug_with_symptom_dataset,0,context,4o,True,True,0.11697473376989365,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.9585492227979274,2.548,378.727,6.279,30.0
2024_gpt4o_context_with_drug_with_symptom_dataset,1,context,4o,True,True,0.11606712639331818,0.703125,0.6923076923076923,0.6976744186046512,0.9595854922279793,2.5797,374.072,6.202,30.0
2024_gpt4o_context_with_drug_with_symptom_dataset,2,context,4o,True,True,0.13759398460388184,0.7241379310344828,0.6461538461538462,0.6829268292682927,0.9595854922279793,2.5772,374.439,6.208,30.0
2024_gpt4o_context_with_drug_with_symptom_dataset,3,context,4o,True,True,0.11852263659238815,0.6825396825396826,0.6615384615384615,0.671875,0.9564766839378238,2.5366,380.423,6.308,30.0
2024_gpt4o_context_with_drug_with_symptom_dataset,4,context,4o,True,True,0.13307812809944153,0.6515151515151515,0.6615384615384615,0.6564885496183206,0.9533678756476683,2.5562,377.512,6.259,30.0
2024_gpt4o_context_with_drug_with_symptom_dataset,5,context,4o,True,True,0.14224857091903687,0.671875,0.6615384615384615,0.6666666666666667,0.9554404145077721,2.5858,373.197,6.188,30.0
2024_gpt4o_context_with_drug_with_symptom_dataset,6,context,4o,True,True,0.1130196675658226,0.6714285714285714,0.7230769230769231,0.6962962962962963,0.9575129533678757,2.5655,376.142,6.237,30.0
2024_gpt4o_context_with_drug_with_symptom_dataset,7,context,4o,True,True,0.11905055493116379,0.75,0.6461538461538462,0.694214876033058,0.9616580310880829,2.544,379.325,6.289,30.0
2024_gpt4o_context_with_drug_with_symptom_dataset,8,context,4o,True,True,0.12000522017478943,0.6818181818181818,0.6923076923076923,0.6870229007633587,0.9575129533678757,2.5526,378.045,6.268,30.0
2024_gpt4o_context_with_drug_with_symptom_dataset,9,context,4o,True,True,0.1349676549434662,0.6615384615384615,0.6615384615384615,0.6615384615384615,0.9544041450777202,2.5738,374.928,6.216,30.0
