dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context_with_symptom_dataset,0,context,4o,False,True,0.13171951472759247,0.6461538461538462,0.6461538461538462,0.6461538461538462,0.9523316062176166,2.6163,368.837,6.115,30.0
2024_gpt4o_context_with_symptom_dataset,1,context,4o,False,True,0.12263501435518265,0.7049180327868853,0.6615384615384615,0.6825396825396826,0.9585492227979274,2.6054,370.383,6.141,30.0
2024_gpt4o_context_with_symptom_dataset,2,context,4o,False,True,0.12915106117725372,0.6885245901639344,0.6461538461538462,0.6666666666666666,0.9564766839378238,2.6144,369.103,6.12,30.0
2024_gpt4o_context_with_symptom_dataset,3,context,4o,False,True,0.11775066703557968,0.6935483870967742,0.6615384615384615,0.6771653543307087,0.9575129533678757,2.632,366.639,6.079,30.0
2024_gpt4o_context_with_symptom_dataset,4,context,4o,False,True,0.14107559621334076,0.7241379310344828,0.6461538461538462,0.6829268292682927,0.9595854922279793,2.6174,368.681,6.113,30.0
2024_gpt4o_context_with_symptom_dataset,5,context,4o,False,True,0.12259015440940857,0.7,0.6461538461538462,0.6719999999999999,0.9575129533678757,2.6053,370.398,6.141,30.0
2024_gpt4o_context_with_symptom_dataset,6,context,4o,False,True,0.12388071417808533,0.7213114754098361,0.676923076923077,0.6984126984126984,0.960621761658031,2.6323,366.596,6.078,30.0
2024_gpt4o_context_with_symptom_dataset,7,context,4o,False,True,0.12091796100139618,0.7096774193548387,0.676923076923077,0.6929133858267716,0.9595854922279793,2.6456,364.761,6.048,30.0
2024_gpt4o_context_with_symptom_dataset,8,context,4o,False,True,0.11838915199041367,0.7,0.6461538461538462,0.6719999999999999,0.9575129533678757,2.107,458.0,7.594,30.0
2024_gpt4o_context_with_symptom_dataset,9,context,4o,False,True,0.11666351556777954,0.7457627118644068,0.676923076923077,0.7096774193548386,0.9626943005181348,2.6397,365.576,6.061,30.0
