dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_mini_context,0,context,4o-mini,False,False,0.12322760373353958,0.7090909090909091,0.6,0.65,0.9564766839378238,2.7453,351.507,5.828,30.0
2024_gpt4o_mini_context,1,context,4o-mini,False,False,0.1237708032131195,0.676923076923077,0.676923076923077,0.676923076923077,0.9564766839378238,2.7734,347.947,5.769,30.0
2024_gpt4o_mini_context,2,context,4o-mini,False,False,0.13149629533290863,0.6461538461538462,0.6461538461538462,0.6461538461538462,0.9523316062176166,2.7449,351.567,5.829,30.0
2024_gpt4o_mini_context,3,context,4o-mini,False,False,0.13085612654685974,0.676923076923077,0.676923076923077,0.676923076923077,0.9564766839378238,2.7201,354.767,5.882,30.0
2024_gpt4o_mini_context,4,context,4o-mini,False,False,0.13292638957500458,0.671875,0.6615384615384615,0.6666666666666667,0.9554404145077721,2.7456,351.47,5.827,30.0
2024_gpt4o_mini_context,5,context,4o-mini,False,False,0.13496726751327515,0.7049180327868853,0.6615384615384615,0.6825396825396826,0.9585492227979274,2.7534,350.472,5.811,30.0
2024_gpt4o_mini_context,6,context,4o-mini,False,False,0.12917311489582062,0.711864406779661,0.6461538461538462,0.6774193548387097,0.9585492227979274,2.7333,353.052,5.854,30.0
2024_gpt4o_mini_context,7,context,4o-mini,False,False,0.12494531273841858,0.6615384615384615,0.6615384615384615,0.6615384615384615,0.9544041450777202,2.7291,353.59,5.863,30.0
2024_gpt4o_mini_context,8,context,4o-mini,False,False,0.13460922241210938,0.6833333333333333,0.6307692307692307,0.6559999999999999,0.9554404145077721,2.7215,354.577,5.879,30.0
2024_gpt4o_mini_context,9,context,4o-mini,False,False,0.12537246942520142,0.6833333333333333,0.6307692307692307,0.6559999999999999,0.9554404145077721,2.7227,354.429,5.877,30.0
