dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_mini_span,0,span,4o-mini,False,False,0.1358887106180191,0.6351351351351351,0.7230769230769231,0.6762589928057553,0.9533678756476683,2.7525,350.59,5.813,30.0
2024_gpt4o_mini_span,1,span,4o-mini,False,False,0.13081687688827515,0.6081081081081081,0.6923076923076923,0.6474820143884892,0.9492227979274611,2.7297,353.525,5.862,30.0
2024_gpt4o_mini_span,2,span,4o-mini,False,False,0.13551034033298492,0.6133333333333333,0.7076923076923077,0.657142857142857,0.950259067357513,2.7482,351.143,5.822,30.0
2024_gpt4o_mini_span,3,span,4o-mini,False,False,0.1293129026889801,0.6216216216216216,0.7076923076923077,0.6618705035971223,0.9512953367875647,2.7537,350.434,5.81,30.0
2024_gpt4o_mini_span,4,span,4o-mini,False,False,0.1309351772069931,0.6216216216216216,0.7076923076923077,0.6618705035971223,0.9512953367875647,2.8172,342.541,5.679,30.0
2024_gpt4o_mini_span,5,span,4o-mini,False,False,0.13804784417152405,0.6216216216216216,0.7076923076923077,0.6618705035971223,0.9512953367875647,2.7257,354.031,5.87,30.0
2024_gpt4o_mini_span,6,span,4o-mini,False,False,0.13098925352096558,0.6575342465753424,0.7384615384615385,0.6956521739130435,0.9564766839378238,2.748,351.159,5.822,30.0
2024_gpt4o_mini_span,7,span,4o-mini,False,False,0.12877170741558075,0.6716417910447762,0.6923076923076923,0.6818181818181818,0.9564766839378238,2.7369,352.587,5.846,30.0
2024_gpt4o_mini_span,8,span,4o-mini,False,False,0.1322183758020401,0.618421052631579,0.7230769230769231,0.6666666666666667,0.9512953367875647,2.7101,356.072,5.904,30.0
2024_gpt4o_mini_span,9,span,4o-mini,False,False,0.12696492671966553,0.647887323943662,0.7076923076923077,0.676470588235294,0.9544041450777202,2.718,355.044,5.887,30.0
