dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_mini_span_with_context,0,span/context,4o-mini,False,False,0.1381620168685913,0.65625,0.6461538461538462,0.6511627906976746,0.9533678756476683,2.734,352.968,5.852,30.0
2024_gpt4o_mini_span_with_context,1,span/context,4o-mini,False,False,0.13168172538280487,0.6470588235294118,0.676923076923077,0.6616541353383458,0.9533678756476683,2.7175,355.106,5.888,30.0
2024_gpt4o_mini_span_with_context,2,span/context,4o-mini,False,False,0.13753022253513336,0.7407407407407407,0.6153846153846154,0.6722689075630253,0.9595854922279793,2.7158,355.326,5.891,30.0
2024_gpt4o_mini_span_with_context,3,span/context,4o-mini,False,False,0.1319705694913864,0.6567164179104478,0.676923076923077,0.6666666666666667,0.9544041450777202,2.7109,355.966,5.902,30.0
2024_gpt4o_mini_span_with_context,4,span/context,4o-mini,False,False,0.13413572311401367,0.6417910447761194,0.6615384615384615,0.6515151515151515,0.9523316062176166,2.7541,350.382,5.809,30.0
2024_gpt4o_mini_span_with_context,5,span/context,4o-mini,False,False,0.12998907268047333,0.6666666666666666,0.676923076923077,0.6717557251908397,0.9554404145077721,2.7301,353.465,5.861,30.0
2024_gpt4o_mini_span_with_context,6,span/context,4o-mini,False,False,0.13946110010147095,0.6833333333333333,0.6307692307692307,0.6559999999999999,0.9554404145077721,2.727,353.873,5.867,30.0
2024_gpt4o_mini_span_with_context,7,span/context,4o-mini,False,False,0.13921505212783813,0.65625,0.6461538461538462,0.6511627906976746,0.9533678756476683,2.736,352.705,5.848,30.0
2024_gpt4o_mini_span_with_context,8,span/context,4o-mini,False,False,0.12507867813110352,0.6818181818181818,0.6923076923076923,0.6870229007633587,0.9575129533678757,2.7166,355.224,5.89,30.0
2024_gpt4o_mini_span_with_context,9,span/context,4o-mini,False,False,0.1330357939004898,0.6615384615384615,0.6615384615384615,0.6615384615384615,0.9544041450777202,2.7551,350.262,5.807,30.0
