dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span,0,span,4o,False,False,0.15224352478981018,0.6376811594202898,0.676923076923077,0.6567164179104477,0.9523316062176166,2.7183,355.006,5.886,30.0
2024_gpt4o_span,1,span,4o,False,False,0.13920845091342926,0.6363636363636364,0.6461538461538462,0.6412213740458016,0.9512953367875647,2.719,354.915,5.885,30.0
2024_gpt4o_span,2,span,4o,False,False,0.14811579883098602,0.6470588235294118,0.676923076923077,0.6616541353383458,0.9533678756476683,2.7292,353.578,5.862,30.0
2024_gpt4o_span,3,span,4o,False,False,0.13160677254199982,0.6885245901639344,0.6461538461538462,0.6666666666666666,0.9564766839378238,2.7541,350.388,5.81,30.0
2024_gpt4o_span,4,span,4o,False,False,0.12892583012580872,0.6610169491525424,0.6,0.6290322580645161,0.9523316062176166,2.7252,354.105,5.871,30.0
2024_gpt4o_span,5,span,4o,False,False,0.11389590054750443,0.7719298245614035,0.676923076923077,0.7213114754098361,0.9647668393782384,2.7447,351.59,5.829,30.0
2024_gpt4o_span,6,span,4o,False,False,0.12389939278364182,0.6721311475409836,0.6307692307692307,0.6507936507936507,0.9544041450777202,2.7355,352.766,5.849,30.0
2024_gpt4o_span,7,span,4o,False,False,0.1248646154999733,0.6885245901639344,0.6461538461538462,0.6666666666666666,0.9564766839378238,2.7211,354.631,5.88,30.0
2024_gpt4o_span,8,span,4o,False,False,0.12518754601478577,0.6666666666666666,0.6461538461538462,0.65625,0.9544041450777202,2.7487,351.073,5.821,30.0
2024_gpt4o_span,9,span,4o,False,False,0.14028307795524597,0.65625,0.6461538461538462,0.6511627906976746,0.9533678756476683,2.724,354.261,5.874,30.0
