dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_tweet_only_with_drug_dataset,0,span,No,True,False,0.12808790802955627,0.7073170731707317,0.4461538461538462,0.5471698113207548,0.950259067357513,2.594,372.009,6.168,30.0
2024_gpt4o_span_tweet_only_with_drug_dataset,1,span,No,True,False,0.1345282942056656,0.675,0.4153846153846154,0.5142857142857142,0.9471502590673575,2.5883,372.826,6.182,30.0
2024_gpt4o_span_tweet_only_with_drug_dataset,2,span,No,True,False,0.13319043815135956,0.6666666666666666,0.4307692307692308,0.5233644859813084,0.9471502590673575,2.2755,424.08,7.031,30.0
2024_gpt4o_span_tweet_only_with_drug_dataset,3,span,No,True,False,0.13562074303627014,0.7941176470588235,0.4153846153846154,0.5454545454545455,0.9533678756476683,2.5948,371.894,6.166,30.0
2024_gpt4o_span_tweet_only_with_drug_dataset,4,span,No,True,False,0.12737734615802765,0.7073170731707317,0.4461538461538462,0.5471698113207548,0.950259067357513,2.6036,370.645,6.145,30.0
2024_gpt4o_span_tweet_only_with_drug_dataset,5,span,No,True,False,0.12638641893863678,0.65,0.6,0.624,0.9512953367875647,2.6238,367.781,6.098,30.0
2024_gpt4o_span_tweet_only_with_drug_dataset,6,span,No,True,False,0.1338644176721573,0.6530612244897959,0.49230769230769234,0.5614035087719299,0.9481865284974094,2.5936,372.063,6.169,30.0
2024_gpt4o_span_tweet_only_with_drug_dataset,7,span,No,True,False,0.12684166431427002,0.725,0.4461538461538462,0.5523809523809524,0.9512953367875647,2.5997,371.194,6.155,30.0
2024_gpt4o_span_tweet_only_with_drug_dataset,8,span,No,True,False,0.1295076310634613,0.6851851851851852,0.5692307692307692,0.6218487394957983,0.9533678756476683,1.2631,764.017,12.668,30.0
2024_gpt4o_span_tweet_only_with_drug_dataset,9,span,No,True,False,0.12644049525260925,0.7021276595744681,0.5076923076923077,0.5892857142857143,0.9523316062176166,2.6206,368.243,6.106,30.0
