dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,0,span,No,True,True,0.13092760741710663,0.6122448979591837,0.46153846153846156,0.5263157894736843,0.944041450777202,2.5986,371.352,6.157,30.0
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,1,span,No,True,True,0.14562676846981049,0.6136363636363636,0.4153846153846154,0.49541284403669733,0.9430051813471503,2.1783,443.01,7.345,30.0
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,2,span,No,True,True,0.13615232706069946,0.6744186046511628,0.4461538461538462,0.537037037037037,0.9481865284974094,2.5988,371.327,6.157,30.0
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,3,span,No,True,True,0.14940814673900604,0.6774193548387096,0.3230769230769231,0.4375,0.944041450777202,2.3569,409.444,6.789,30.0
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,4,span,No,True,True,0.13503612577915192,0.7105263157894737,0.4153846153846154,0.5242718446601942,0.9492227979274611,2.6065,370.225,6.138,30.0
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,5,span,No,True,True,0.13417604565620422,0.6590909090909091,0.4461538461538462,0.5321100917431192,0.9471502590673575,2.6072,370.132,6.137,30.0
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,6,span,No,True,True,0.13619859516620636,0.62,0.47692307692307695,0.5391304347826087,0.9450777202072539,2.5721,375.175,6.221,30.0
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,7,span,No,True,True,0.1299070119857788,0.7317073170731707,0.46153846153846156,0.5660377358490567,0.9523316062176166,2.6251,367.61,6.095,30.0
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,8,span,No,True,True,0.13642378151416779,0.6590909090909091,0.4461538461538462,0.5321100917431192,0.9471502590673575,2.6082,369.99,6.135,30.0
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,9,span,No,True,True,0.135166734457016,0.6346153846153846,0.5076923076923077,0.5641025641025641,0.9471502590673575,2.5832,373.571,6.194,30.0
