dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_tweet_only_with_symptom_dataset,0,span,No,False,True,0.13712072372436523,0.625,0.5384615384615384,0.578512396694215,0.9471502590673575,2.6087,369.92,6.133,30.0
2024_gpt4o_span_tweet_only_with_symptom_dataset,1,span,No,False,True,0.12972943484783173,0.6875,0.5076923076923077,0.584070796460177,0.9512953367875647,2.5876,372.935,6.183,30.0
2024_gpt4o_span_tweet_only_with_symptom_dataset,2,span,No,False,True,0.1262381374835968,0.6181818181818182,0.5230769230769231,0.5666666666666668,0.9461139896373058,2.5957,371.762,6.164,30.0
2024_gpt4o_span_tweet_only_with_symptom_dataset,3,span,No,False,True,0.13526220619678497,0.6590909090909091,0.4461538461538462,0.5321100917431192,0.9471502590673575,2.5881,372.86,6.182,30.0
2024_gpt4o_span_tweet_only_with_symptom_dataset,4,span,No,False,True,0.1286800354719162,0.6666666666666666,0.46153846153846156,0.5454545454545455,0.9481865284974094,1.269,760.436,12.608,30.0
2024_gpt4o_span_tweet_only_with_symptom_dataset,5,span,No,False,True,0.13102534413337708,0.75,0.46153846153846156,0.5714285714285714,0.9533678756476683,2.6347,366.266,6.073,30.0
2024_gpt4o_span_tweet_only_with_symptom_dataset,6,span,No,False,True,0.13889360427856445,0.6808510638297872,0.49230769230769234,0.5714285714285714,0.950259067357513,1.953,494.117,8.193,30.0
2024_gpt4o_span_tweet_only_with_symptom_dataset,7,span,No,False,True,0.13454881310462952,0.6595744680851063,0.47692307692307695,0.5535714285714286,0.9481865284974094,2.5875,372.948,6.184,30.0
2024_gpt4o_span_tweet_only_with_symptom_dataset,8,span,No,False,True,0.12593181431293488,0.6976744186046512,0.46153846153846156,0.5555555555555556,0.950259067357513,2.6109,369.601,6.128,30.0
2024_gpt4o_span_tweet_only_with_symptom_dataset,9,span,No,False,True,0.13062784075737,0.6666666666666666,0.49230769230769234,0.5663716814159293,0.9492227979274611,2.6168,368.765,6.114,30.0
