dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_with_context,0,span/context,4o,False,False,0.1349513679742813,0.65625,0.6461538461538462,0.6511627906976746,0.9533678756476683,2.7381,352.435,5.843,30.0
2024_gpt4o_span_with_context,1,span/context,4o,False,False,0.11403024941682816,0.7241379310344828,0.6461538461538462,0.6829268292682927,0.9595854922279793,2.7117,355.866,5.9,30.0
2024_gpt4o_span_with_context,2,span/context,4o,False,False,0.14399345219135284,0.6349206349206349,0.6153846153846154,0.625,0.950259067357513,2.7225,354.447,5.877,30.0
2024_gpt4o_span_with_context,3,span/context,4o,False,False,0.13639511168003082,0.7049180327868853,0.6615384615384615,0.6825396825396826,0.9585492227979274,2.7418,351.959,5.836,30.0
2024_gpt4o_span_with_context,4,span/context,4o,False,False,0.12631423771381378,0.6666666666666666,0.6153846153846154,0.64,0.9533678756476683,2.7295,353.545,5.862,30.0
2024_gpt4o_span_with_context,5,span/context,4o,False,False,0.12125791609287262,0.6842105263157895,0.6,0.639344262295082,0.9544041450777202,2.7502,350.89,5.818,30.0
2024_gpt4o_span_with_context,6,span/context,4o,False,False,0.12440674751996994,0.7,0.6461538461538462,0.6719999999999999,0.9575129533678757,2.7093,356.175,5.905,30.0
2024_gpt4o_span_with_context,7,span/context,4o,False,False,0.12585985660552979,0.6896551724137931,0.6153846153846154,0.6504065040650407,0.9554404145077721,2.7382,352.427,5.843,30.0
2024_gpt4o_span_with_context,8,span/context,4o,False,False,0.13463155925273895,0.7213114754098361,0.676923076923077,0.6984126984126984,0.960621761658031,2.7554,350.223,5.807,30.0
2024_gpt4o_span_with_context,9,span/context,4o,False,False,0.12194499373435974,0.803921568627451,0.6307692307692307,0.7068965517241379,0.9647668393782384,1.3478,715.997,11.871,30.0
