dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_with_drug_dataset,0,span,4o,True,False,0.14911764860153198,0.6164383561643836,0.6923076923076923,0.6521739130434783,0.950259067357513,2.5743,374.866,6.215,30.0
2024_gpt4o_span_with_drug_dataset,1,span,4o,True,False,0.12389114499092102,0.7547169811320755,0.6153846153846154,0.6779661016949153,0.960621761658031,2.5521,378.122,6.269,30.0
2024_gpt4o_span_with_drug_dataset,2,span,4o,True,False,0.12033261358737946,0.7241379310344828,0.6461538461538462,0.6829268292682927,0.9595854922279793,2.5848,373.337,6.19,30.0
2024_gpt4o_span_with_drug_dataset,3,span,4o,True,False,0.12016034126281738,0.803921568627451,0.6307692307692307,0.7068965517241379,0.9647668393782384,2.5631,376.493,6.242,30.0
2024_gpt4o_span_with_drug_dataset,4,span,4o,True,False,0.14271129667758942,0.6567164179104478,0.676923076923077,0.6666666666666667,0.9544041450777202,2.5634,376.452,6.242,30.0
2024_gpt4o_span_with_drug_dataset,5,span,4o,True,False,0.1247706338763237,0.6615384615384615,0.6615384615384615,0.6615384615384615,0.9544041450777202,2.5735,374.976,6.217,30.0
2024_gpt4o_span_with_drug_dataset,6,span,4o,True,False,0.12654758989810944,0.6949152542372882,0.6307692307692307,0.6612903225806452,0.9564766839378238,2.5337,380.87,6.315,30.0
2024_gpt4o_span_with_drug_dataset,7,span,4o,True,False,0.13418813049793243,0.6507936507936508,0.6307692307692307,0.640625,0.9523316062176166,2.5442,379.296,6.289,30.0
2024_gpt4o_span_with_drug_dataset,8,span,4o,True,False,0.11968212574720383,0.676923076923077,0.676923076923077,0.676923076923077,0.9564766839378238,2.5554,377.629,6.261,30.0
2024_gpt4o_span_with_drug_dataset,9,span,4o,True,False,0.11821991205215454,0.6774193548387096,0.6461538461538462,0.6614173228346457,0.9554404145077721,2.6081,369.999,6.135,30.0
