dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_with_drug_with_symptom_dataset,0,span,4o,True,True,0.13124790787696838,0.6721311475409836,0.6307692307692307,0.6507936507936507,0.9544041450777202,2.552,378.128,6.269,30.0
2024_gpt4o_span_with_drug_with_symptom_dataset,1,span,4o,True,True,0.1355152279138565,0.65625,0.6461538461538462,0.6511627906976746,0.9533678756476683,2.6453,364.802,6.049,30.0
2024_gpt4o_span_with_drug_with_symptom_dataset,2,span,4o,True,True,0.13969360291957855,0.6515151515151515,0.6615384615384615,0.6564885496183206,0.9533678756476683,2.5693,375.59,6.227,30.0
2024_gpt4o_span_with_drug_with_symptom_dataset,3,span,4o,True,True,0.1282699704170227,0.6567164179104478,0.676923076923077,0.6666666666666667,0.9544041450777202,2.6094,369.816,6.132,30.0
2024_gpt4o_span_with_drug_with_symptom_dataset,4,span,4o,True,True,0.14410880208015442,0.6417910447761194,0.6615384615384615,0.6515151515151515,0.9523316062176166,2.6143,369.126,6.12,30.0
2024_gpt4o_span_with_drug_with_symptom_dataset,5,span,4o,True,True,0.11423614621162415,0.7,0.6461538461538462,0.6719999999999999,0.9575129533678757,2.626,367.48,6.093,30.0
2024_gpt4o_span_with_drug_with_symptom_dataset,6,span,4o,True,True,0.12107530981302261,0.671875,0.6615384615384615,0.6666666666666667,0.9554404145077721,2.5869,373.04,6.185,30.0
2024_gpt4o_span_with_drug_with_symptom_dataset,7,span,4o,True,True,0.11360108107328415,0.6825396825396826,0.6615384615384615,0.671875,0.9564766839378238,2.6083,369.973,6.134,30.0
2024_gpt4o_span_with_drug_with_symptom_dataset,8,span,4o,True,True,0.1446732133626938,0.65625,0.6461538461538462,0.6511627906976746,0.9533678756476683,2.6018,370.89,6.149,30.0
2024_gpt4o_span_with_drug_with_symptom_dataset,9,span,4o,True,True,0.11822765320539474,0.7413793103448276,0.6615384615384615,0.6991869918699186,0.9616580310880829,2.587,373.026,6.185,30.0
