dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_with_symptom_dataset,0,span,4o,False,True,0.1129484623670578,0.6984126984126984,0.676923076923077,0.6875,0.9585492227979274,2.6139,369.179,6.121,30.0
2024_gpt4o_span_with_symptom_dataset,1,span,4o,False,True,0.12118282169103622,0.6833333333333333,0.6307692307692307,0.6559999999999999,0.9554404145077721,2.6415,365.325,6.057,30.0
2024_gpt4o_span_with_symptom_dataset,2,span,4o,False,True,0.1327095627784729,0.6417910447761194,0.6615384615384615,0.6515151515151515,0.9523316062176166,2.6118,369.476,6.126,30.0
2024_gpt4o_span_with_symptom_dataset,3,span,4o,False,True,0.12771983444690704,0.671875,0.6615384615384615,0.6666666666666667,0.9554404145077721,2.6371,365.935,6.067,30.0
2024_gpt4o_span_with_symptom_dataset,4,span,4o,False,True,0.11687285453081131,0.711864406779661,0.6461538461538462,0.6774193548387097,0.9585492227979274,2.5809,373.898,6.199,30.0
2024_gpt4o_span_with_symptom_dataset,5,span,4o,False,True,0.1257825344800949,0.6833333333333333,0.6307692307692307,0.6559999999999999,0.9554404145077721,2.5967,371.624,6.162,30.0
2024_gpt4o_span_with_symptom_dataset,6,span,4o,False,True,0.13436563313007355,0.6666666666666666,0.6461538461538462,0.65625,0.9544041450777202,2.5815,373.808,6.198,30.0
2024_gpt4o_span_with_symptom_dataset,7,span,4o,False,True,0.12480589747428894,0.7049180327868853,0.6615384615384615,0.6825396825396826,0.9585492227979274,2.6021,370.849,6.149,30.0
2024_gpt4o_span_with_symptom_dataset,8,span,4o,False,True,0.12530642747879028,0.6885245901639344,0.6461538461538462,0.6666666666666666,0.9564766839378238,2.592,372.304,6.173,30.0
2024_gpt4o_span_with_symptom_dataset,9,span,4o,False,True,0.12271545082330704,0.6949152542372882,0.6307692307692307,0.6612903225806452,0.9564766839378238,2.5725,375.117,6.22,30.0
