dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_tweet_only,0,None,No,False,False,0.13326628506183624,0.6578947368421053,0.38461538461538464,0.4854368932038836,0.9450777202072539,2.5793,374.127,6.203,30.0
2024_tweet_only,1,None,No,False,False,0.1254907250404358,0.6730769230769231,0.5384615384615384,0.5982905982905983,0.9512953367875647,2.5731,375.03,6.218,30.0
2024_tweet_only,2,None,No,False,False,0.14111408591270447,0.6896551724137931,0.3076923076923077,0.4255319148936171,0.944041450777202,2.6402,365.496,6.06,30.0
2024_tweet_only,3,None,No,False,False,0.13204152882099152,0.6428571428571429,0.4153846153846154,0.5046728971962617,0.9450777202072539,2.5901,372.574,6.177,30.0
2024_tweet_only,4,None,No,False,False,0.12590374052524567,0.775,0.47692307692307695,0.5904761904761905,0.9554404145077721,2.5904,372.531,6.177,30.0
2024_tweet_only,5,None,No,False,False,0.14615340530872345,0.7142857142857143,0.46153846153846156,0.5607476635514019,0.9512953367875647,2.6165,368.813,6.115,30.0
2024_tweet_only,6,None,No,False,False,0.13626036047935486,0.6808510638297872,0.49230769230769234,0.5714285714285714,0.950259067357513,2.5766,374.523,6.21,30.0
2024_tweet_only,7,None,No,False,False,0.13605724275112152,0.6444444444444445,0.4461538461538462,0.5272727272727272,0.9461139896373058,2.5987,371.333,6.157,30.0
2024_tweet_only,8,None,No,False,False,0.1290043294429779,0.6530612244897959,0.49230769230769234,0.5614035087719299,0.9481865284974094,2.6007,371.058,6.152,30.0
2024_tweet_only,9,None,No,False,False,0.13514366745948792,0.66,0.5076923076923077,0.5739130434782608,0.9492227979274611,2.6314,366.722,6.08,30.0
