dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context,0,context,4o,False,False,0.11755533516407013,0.75,0.6461538461538462,0.694214876033058,0.9616580310880829,3.8046,253.64,4.205,30.0
2024_gpt4o_context,1,context,4o,False,False,0.11370719969272614,0.8148148148148148,0.676923076923077,0.7394957983193278,0.9678756476683937,3.781,255.222,4.232,30.0
2024_gpt4o_context,2,context,4o,False,False,0.10828757286071777,0.7796610169491526,0.7076923076923077,0.7419354838709677,0.966839378238342,3.7701,255.958,4.244,30.0
2024_gpt4o_context,0,context,4o,False,False,0.11159097403287888,0.7368421052631579,0.6461538461538462,0.6885245901639344,0.960621761658031,3.7764,255.533,4.237,30.0
2024_gpt4o_context,1,context,4o,False,False,0.10540026426315308,0.7796610169491526,0.7076923076923077,0.7419354838709677,0.966839378238342,3.7774,255.469,4.236,30.0
2024_gpt4o_context,2,context,4o,False,False,0.11067294329404831,0.7627118644067796,0.6923076923076923,0.7258064516129032,0.9647668393782384,3.776,255.56,4.237,30.0
2024_gpt4o_context,3,context,4o,False,False,0.11220875382423401,0.7666666666666667,0.7076923076923077,0.736,0.9658031088082901,3.7676,256.133,4.247,30.0
2024_gpt4o_context,4,context,4o,False,False,0.12212289124727249,0.7719298245614035,0.676923076923077,0.7213114754098361,0.9647668393782384,3.788,254.754,4.224,30.0
2024_gpt4o_context,5,context,4o,False,False,0.104939766228199,0.8070175438596491,0.7076923076923077,0.7540983606557378,0.9689119170984456,3.7882,254.74,4.224,30.0
2024_gpt4o_context,6,context,4o,False,False,0.11163529008626938,0.7931034482758621,0.7076923076923077,0.7479674796747967,0.9678756476683937,3.7754,255.601,4.238,30.0
2024_gpt4o_context,7,context,4o,False,False,0.10807297378778458,0.7678571428571429,0.6615384615384615,0.7107438016528925,0.9637305699481865,3.7926,254.446,4.219,30.0
