dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context_tweet_only_with_drug_dataset,0,context,No,True,False,0.10907076299190521,0.75,0.6461538461538462,0.694214876033058,0.9616580310880829,3.5662,270.594,4.487,30.0
2024_gpt4o_context_tweet_only_with_drug_dataset,1,context,No,True,False,0.10023748129606247,0.7704918032786885,0.7230769230769231,0.746031746031746,0.966839378238342,3.536,272.911,4.525,30.0
2024_gpt4o_context_tweet_only_with_drug_dataset,2,context,No,True,False,0.11028387397527695,0.7222222222222222,0.6,0.6554621848739496,0.9575129533678757,3.5342,273.049,4.527,30.0
2024_gpt4o_context_tweet_only_with_drug_dataset,3,context,No,True,False,0.10517628490924835,0.7164179104477612,0.7384615384615385,0.7272727272727273,0.9626943005181348,3.5181,274.296,4.548,30.0
2024_gpt4o_context_tweet_only_with_drug_dataset,4,context,No,True,False,0.10124571621417999,0.7580645161290323,0.7230769230769231,0.7401574803149606,0.9658031088082901,3.5311,273.285,4.531,30.0
2024_gpt4o_context_tweet_only_with_drug_dataset,5,context,No,True,False,0.10452286154031754,0.7101449275362319,0.7538461538461538,0.7313432835820897,0.9626943005181348,3.5231,273.907,4.541,30.0
2024_gpt4o_context_tweet_only_with_drug_dataset,0,context,No,True,False,0.09884735196828842,0.803030303030303,0.8153846153846154,0.8091603053435115,0.9740932642487047,3.5561,271.364,4.499,30.0
2024_gpt4o_context_tweet_only_with_drug_dataset,1,context,No,True,False,0.10665469616651535,0.7678571428571429,0.6615384615384615,0.7107438016528925,0.9637305699481865,3.5346,273.018,4.527,30.0
2024_gpt4o_context_tweet_only_with_drug_dataset,2,context,No,True,False,0.10354256629943848,0.7413793103448276,0.6615384615384615,0.6991869918699186,0.9616580310880829,3.5266,273.635,4.537,30.0
2024_gpt4o_context_tweet_only_with_drug_dataset,3,context,No,True,False,0.11057288944721222,0.71875,0.7076923076923077,0.7131782945736435,0.9616580310880829,3.551,271.751,4.506,30.0
