dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,0,context,No,True,True,0.10648486018180847,0.6621621621621622,0.7538461538461538,0.7050359712230215,0.9575129533678757,3.5253,273.734,4.539,30.0
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,1,context,No,True,True,0.11492264270782471,0.6764705882352942,0.7076923076923077,0.6917293233082707,0.9575129533678757,3.5501,271.821,4.507,30.0
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,2,context,No,True,True,0.11088678985834122,0.703125,0.6923076923076923,0.6976744186046512,0.9595854922279793,3.5589,271.151,4.496,30.0
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,3,context,No,True,True,0.10129668563604355,0.7704918032786885,0.7230769230769231,0.746031746031746,0.966839378238342,3.5539,271.53,4.502,30.0
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,4,context,No,True,True,0.10062528401613235,0.7903225806451613,0.7538461538461538,0.7716535433070866,0.9699481865284975,3.5412,272.508,4.518,30.0
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,5,context,No,True,True,0.1113380417227745,0.6911764705882353,0.7230769230769231,0.7067669172932332,0.9595854922279793,3.5506,271.786,4.506,30.0
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,0,context,No,True,True,0.10972649604082108,0.704225352112676,0.7692307692307693,0.7352941176470589,0.9626943005181348,3.5397,272.623,4.52,30.0
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,1,context,No,True,True,0.11331211775541306,0.6811594202898551,0.7230769230769231,0.7014925373134329,0.9585492227979274,3.5368,272.847,4.524,30.0
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,2,context,No,True,True,0.11148110777139664,0.6716417910447762,0.6923076923076923,0.6818181818181818,0.9564766839378238,3.5863,269.079,4.461,30.0
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,3,context,No,True,True,0.10198406875133514,0.7083333333333334,0.7846153846153846,0.7445255474452555,0.9637305699481865,3.5392,272.657,4.521,30.0
