dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context_tweet_only_with_symptom_dataset,0,context,No,False,True,0.11288056522607803,0.7258064516129032,0.6923076923076923,0.7086614173228347,0.9616580310880829,3.5447,272.239,4.514,30.0
2024_gpt4o_context_tweet_only_with_symptom_dataset,1,context,No,False,True,0.12110483646392822,0.6764705882352942,0.7076923076923077,0.6917293233082707,0.9575129533678757,3.5696,270.337,4.482,30.0
2024_gpt4o_context_tweet_only_with_symptom_dataset,2,context,No,False,True,0.12677812576293945,0.7931034482758621,0.35384615384615387,0.48936170212765956,0.950259067357513,3.5536,271.555,4.502,30.0
2024_gpt4o_context_tweet_only_with_symptom_dataset,3,context,No,False,True,0.10885602980852127,0.746031746031746,0.7230769230769231,0.7343749999999999,0.9647668393782384,3.5291,273.443,4.534,30.0
2024_gpt4o_context_tweet_only_with_symptom_dataset,4,context,No,False,True,0.10547816008329391,0.7666666666666667,0.7076923076923077,0.736,0.9658031088082901,3.5358,272.922,4.525,30.0
2024_gpt4o_context_tweet_only_with_symptom_dataset,5,context,No,False,True,0.10504070669412613,0.7627118644067796,0.6923076923076923,0.7258064516129032,0.9647668393782384,3.53,273.368,4.533,30.0
2024_gpt4o_context_tweet_only_with_symptom_dataset,0,context,No,False,True,0.12435228377580643,0.803921568627451,0.6307692307692307,0.7068965517241379,0.9647668393782384,3.5335,273.098,4.528,30.0
2024_gpt4o_context_tweet_only_with_symptom_dataset,1,context,No,False,True,0.10955038666725159,0.7301587301587301,0.7076923076923077,0.7187500000000001,0.9626943005181348,3.5359,272.918,4.525,30.0
2024_gpt4o_context_tweet_only_with_symptom_dataset,2,context,No,False,True,0.11503630876541138,0.6764705882352942,0.7076923076923077,0.6917293233082707,0.9575129533678757,3.5655,270.652,4.487,30.0
2024_gpt4o_context_tweet_only_with_symptom_dataset,3,context,No,False,True,0.1157490611076355,0.6764705882352942,0.7076923076923077,0.6917293233082707,0.9575129533678757,3.5352,272.97,4.526,30.0
