dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context_with_drug_with_symptom_dataset,0,context,4o,True,True,0.10408196598291397,0.7575757575757576,0.7692307692307693,0.7633587786259541,0.9678756476683937,3.5469,272.071,4.511,30.0
2024_gpt4o_context_with_drug_with_symptom_dataset,1,context,4o,True,True,0.10458120703697205,0.7962962962962963,0.6615384615384615,0.7226890756302522,0.9658031088082901,3.5523,271.653,4.504,30.0
2024_gpt4o_context_with_drug_with_symptom_dataset,2,context,4o,True,True,0.11481200903654099,0.7121212121212122,0.7230769230769231,0.717557251908397,0.9616580310880829,3.5578,271.237,4.497,30.0
2024_gpt4o_context_with_drug_with_symptom_dataset,3,context,4o,True,True,0.11096656322479248,0.7164179104477612,0.7384615384615385,0.7272727272727273,0.9626943005181348,3.5517,271.697,4.505,30.0
2024_gpt4o_context_with_drug_with_symptom_dataset,4,context,4o,True,True,0.10965444892644882,0.7272727272727273,0.7384615384615385,0.732824427480916,0.9637305699481865,3.5523,271.657,4.504,30.0
2024_gpt4o_context_with_drug_with_symptom_dataset,5,context,4o,True,True,0.10838562995195389,0.7058823529411765,0.7384615384615385,0.7218045112781954,0.9616580310880829,3.5406,272.554,4.519,30.0
2024_gpt4o_context_with_drug_with_symptom_dataset,0,context,4o,True,True,0.10473556816577911,0.6666666666666666,0.7692307692307693,0.7142857142857142,0.9585492227979274,3.5322,273.205,4.53,30.0
2024_gpt4o_context_with_drug_with_symptom_dataset,1,context,4o,True,True,0.09293056279420853,0.8135593220338984,0.7384615384615385,0.7741935483870969,0.9709844559585492,3.5589,271.152,4.496,30.0
2024_gpt4o_context_with_drug_with_symptom_dataset,2,context,4o,True,True,0.10094569623470306,0.7741935483870968,0.7384615384615385,0.7559055118110236,0.9678756476683937,3.5191,274.217,4.547,30.0
2024_gpt4o_context_with_drug_with_symptom_dataset,3,context,4o,True,True,0.1052597314119339,0.746268656716418,0.7692307692307693,0.7575757575757576,0.966839378238342,3.5307,273.318,4.532,30.0
