dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span,0,span,4o,False,False,0.1086321771144867,0.7142857142857143,0.7692307692307693,0.7407407407407408,0.9637305699481865,3.7741,255.691,4.239,30.0
2024_gpt4o_span,1,span,4o,False,False,0.10409555584192276,0.746031746031746,0.7230769230769231,0.7343749999999999,0.9647668393782384,3.7791,255.349,4.234,30.0
2024_gpt4o_span,2,span,4o,False,False,0.10569465905427933,0.7230769230769231,0.7230769230769231,0.723076923076923,0.9626943005181348,3.7706,255.93,4.243,30.0
2024_gpt4o_span,0,span,4o,False,False,0.10900086909532547,0.6712328767123288,0.7538461538461538,0.7101449275362318,0.9585492227979274,3.7763,255.539,4.237,30.0
2024_gpt4o_span,1,span,4o,False,False,0.11714757233858109,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.9585492227979274,3.7768,255.508,4.236,30.0
2024_gpt4o_span,2,span,4o,False,False,0.11034634709358215,0.7058823529411765,0.7384615384615385,0.7218045112781954,0.9616580310880829,3.7809,255.231,4.232,30.0
2024_gpt4o_span,3,span,4o,False,False,0.10233723372220993,0.7580645161290323,0.7230769230769231,0.7401574803149606,0.9658031088082901,3.7934,254.388,4.218,30.0
2024_gpt4o_span,4,span,4o,False,False,0.10487616807222366,0.7818181818181819,0.6615384615384615,0.7166666666666666,0.9647668393782384,3.7924,254.453,4.219,30.0
2024_gpt4o_span,5,span,4o,False,False,0.10462363809347153,0.6901408450704225,0.7538461538461538,0.7205882352941175,0.960621761658031,3.7688,256.048,4.245,30.0
2024_gpt4o_span,6,span,4o,False,False,0.10545004904270172,0.7014925373134329,0.7230769230769231,0.712121212121212,0.960621761658031,3.7692,256.021,4.245,30.0
2024_gpt4o_span,7,span,4o,False,False,0.10308795422315598,0.676056338028169,0.7384615384615385,0.7058823529411765,0.9585492227979274,3.7922,254.473,4.219,30.0
