dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_tweet_only_with_drug_dataset,0,span,No,True,False,0.12688398361206055,0.7407407407407407,0.6153846153846154,0.6722689075630253,0.9595854922279793,3.5699,270.314,4.482,30.0
2024_gpt4o_span_tweet_only_with_drug_dataset,1,span,No,True,False,0.10978943854570389,0.803921568627451,0.6307692307692307,0.7068965517241379,0.9647668393782384,3.6212,266.487,4.418,30.0
2024_gpt4o_span_tweet_only_with_drug_dataset,2,span,No,True,False,0.11283127218484879,0.78,0.6,0.6782608695652174,0.9616580310880829,3.5992,268.115,4.445,30.0
2024_gpt4o_span_tweet_only_with_drug_dataset,3,span,No,True,False,0.12177039682865143,0.782608695652174,0.5538461538461539,0.6486486486486487,0.9595854922279793,3.5677,270.479,4.485,30.0
2024_gpt4o_span_tweet_only_with_drug_dataset,4,span,No,True,False,0.12186460196971893,0.7321428571428571,0.6307692307692307,0.6776859504132231,0.9595854922279793,3.5898,268.815,4.457,30.0
2024_gpt4o_span_tweet_only_with_drug_dataset,5,span,No,True,False,0.11800262331962585,0.7959183673469388,0.6,0.6842105263157895,0.9626943005181348,3.5876,268.986,4.46,30.0
2024_gpt4o_span_tweet_only_with_drug_dataset,0,span,No,True,False,0.11666589975357056,0.7962962962962963,0.6615384615384615,0.7226890756302522,0.9658031088082901,3.5726,270.112,4.479,30.0
2024_gpt4o_span_tweet_only_with_drug_dataset,1,span,No,True,False,0.12105035781860352,0.7916666666666666,0.5846153846153846,0.672566371681416,0.9616580310880829,3.585,269.176,4.463,30.0
2024_gpt4o_span_tweet_only_with_drug_dataset,2,span,No,True,False,0.11716873198747635,0.7543859649122807,0.6615384615384615,0.7049180327868853,0.9626943005181348,3.604,267.758,4.44,30.0
2024_gpt4o_span_tweet_only_with_drug_dataset,3,span,No,True,False,0.12120821326971054,0.7884615384615384,0.6307692307692307,0.7008547008547009,0.9637305699481865,3.5753,269.906,4.475,30.0
