dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_tweet_only_with_symptom_dataset,0,span,No,False,True,0.10921981930732727,0.7543859649122807,0.6615384615384615,0.7049180327868853,0.9626943005181348,3.5766,269.807,4.473,30.0
2024_gpt4o_span_tweet_only_with_symptom_dataset,1,span,No,False,True,0.11761197447776794,0.711864406779661,0.6461538461538462,0.6774193548387097,0.9585492227979274,3.5692,270.37,4.483,30.0
2024_gpt4o_span_tweet_only_with_symptom_dataset,2,span,No,False,True,0.10752316564321518,0.7818181818181819,0.6615384615384615,0.7166666666666666,0.9647668393782384,3.5862,269.087,4.462,30.0
2024_gpt4o_span_tweet_only_with_symptom_dataset,3,span,No,False,True,0.11786084622144699,0.6779661016949152,0.6153846153846154,0.6451612903225806,0.9544041450777202,3.595,268.429,4.451,30.0
2024_gpt4o_span_tweet_only_with_symptom_dataset,4,span,No,False,True,0.11327772587537766,0.6779661016949152,0.6153846153846154,0.6451612903225806,0.9544041450777202,3.596,268.355,4.449,30.0
2024_gpt4o_span_tweet_only_with_symptom_dataset,5,span,No,False,True,0.12097012251615524,0.6825396825396826,0.6615384615384615,0.671875,0.9564766839378238,3.5741,269.994,4.477,30.0
2024_gpt4o_span_tweet_only_with_symptom_dataset,0,span,No,False,True,0.1096583679318428,0.7288135593220338,0.6615384615384615,0.6935483870967741,0.960621761658031,3.5771,269.771,4.473,30.0
2024_gpt4o_span_tweet_only_with_symptom_dataset,1,span,No,False,True,0.12250497192144394,0.7241379310344828,0.6461538461538462,0.6829268292682927,0.9595854922279793,3.5657,270.637,4.487,30.0
2024_gpt4o_span_tweet_only_with_symptom_dataset,2,span,No,False,True,0.11597886681556702,0.7166666666666667,0.6615384615384615,0.688,0.9595854922279793,3.5773,269.755,4.473,30.0
2024_gpt4o_span_tweet_only_with_symptom_dataset,3,span,No,False,True,0.12313796579837799,0.6833333333333333,0.6307692307692307,0.6559999999999999,0.9554404145077721,3.5826,269.358,4.466,30.0
