dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_with_context,0,span/context,4o,False,False,0.11954227089881897,0.6885245901639344,0.6461538461538462,0.6666666666666666,0.9564766839378238,3.7841,255.014,4.228,30.0
2024_gpt4o_span_with_context,1,span/context,4o,False,False,0.10928243398666382,0.8076923076923077,0.6461538461538462,0.717948717948718,0.9658031088082901,3.8004,253.92,4.21,30.0
2024_gpt4o_span_with_context,2,span/context,4o,False,False,0.11580619215965271,0.7301587301587301,0.7076923076923077,0.7187500000000001,0.9626943005181348,3.8111,253.208,4.198,30.0
2024_gpt4o_span_with_context,0,span/context,4o,False,False,0.11684251576662064,0.7407407407407407,0.6153846153846154,0.6722689075630253,0.9595854922279793,3.7869,254.825,4.225,30.0
2024_gpt4o_span_with_context,1,span/context,4o,False,False,0.11750177294015884,0.7258064516129032,0.6923076923076923,0.7086614173228347,0.9616580310880829,3.7703,255.95,4.244,30.0
2024_gpt4o_span_with_context,2,span/context,4o,False,False,0.11695019155740738,0.7321428571428571,0.6307692307692307,0.6776859504132231,0.9595854922279793,3.7749,255.637,4.239,30.0
2024_gpt4o_span_with_context,3,span/context,4o,False,False,0.11537463217973709,0.7777777777777778,0.6461538461538462,0.7058823529411764,0.9637305699481865,3.8073,253.46,4.202,30.0
2024_gpt4o_span_with_context,4,span/context,4o,False,False,0.11705797165632248,0.7213114754098361,0.676923076923077,0.6984126984126984,0.960621761658031,3.773,255.765,4.241,30.0
2024_gpt4o_span_with_context,5,span/context,4o,False,False,0.11647970229387283,0.7457627118644068,0.676923076923077,0.7096774193548386,0.9626943005181348,3.8192,252.669,4.189,30.0
2024_gpt4o_span_with_context,6,span/context,4o,False,False,0.1089983731508255,0.7540983606557377,0.7076923076923077,0.7301587301587301,0.9647668393782384,3.7877,254.773,4.224,30.0
2024_gpt4o_span_with_context,7,span/context,4o,False,False,0.11666981130838394,0.7719298245614035,0.676923076923077,0.7213114754098361,0.9647668393782384,3.7935,254.386,4.218,30.0
