dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_with_drug_with_symptom_dataset,0,span,4o,True,True,0.11355862021446228,0.71875,0.7076923076923077,0.7131782945736435,0.9616580310880829,3.6062,267.593,4.437,30.0
2024_gpt4o_span_with_drug_with_symptom_dataset,1,span,4o,True,True,0.10389063507318497,0.7580645161290323,0.7230769230769231,0.7401574803149606,0.9658031088082901,3.5948,268.441,4.451,30.0
2024_gpt4o_span_with_drug_with_symptom_dataset,2,span,4o,True,True,0.11085973680019379,0.6714285714285714,0.7230769230769231,0.6962962962962963,0.9575129533678757,3.584,269.256,4.464,30.0
2024_gpt4o_span_with_drug_with_symptom_dataset,3,span,4o,True,True,0.10310397297143936,0.7538461538461538,0.7538461538461538,0.7538461538461538,0.966839378238342,3.5807,269.498,4.468,30.0
2024_gpt4o_span_with_drug_with_symptom_dataset,4,span,4o,True,True,0.11017339676618576,0.75,0.6923076923076923,0.7199999999999999,0.9637305699481865,3.5704,270.277,4.481,30.0
2024_gpt4o_span_with_drug_with_symptom_dataset,5,span,4o,True,True,0.1050114780664444,0.7101449275362319,0.7538461538461538,0.7313432835820897,0.9626943005181348,3.5729,270.086,4.478,30.0
2024_gpt4o_span_with_drug_with_symptom_dataset,0,span,4o,True,True,0.10469385981559753,0.7540983606557377,0.7076923076923077,0.7301587301587301,0.9647668393782384,3.5915,268.688,4.455,30.0
2024_gpt4o_span_with_drug_with_symptom_dataset,1,span,4o,True,True,0.11050441116094589,0.6805555555555556,0.7538461538461538,0.7153284671532848,0.9595854922279793,3.5761,269.845,4.474,30.0
2024_gpt4o_span_with_drug_with_symptom_dataset,2,span,4o,True,True,0.10146862268447876,0.7538461538461538,0.7538461538461538,0.7538461538461538,0.966839378238342,3.5743,269.985,4.476,30.0
2024_gpt4o_span_with_drug_with_symptom_dataset,3,span,4o,True,True,0.09874264150857925,0.7246376811594203,0.7692307692307693,0.7462686567164178,0.9647668393782384,3.6027,267.854,4.441,30.0
