dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_with_symptom_dataset,0,span,4o,False,True,0.10986032336950302,0.7301587301587301,0.7076923076923077,0.7187500000000001,0.9626943005181348,3.6037,267.779,4.44,30.0
2024_gpt4o_span_with_symptom_dataset,1,span,4o,False,True,0.11498171836137772,0.765625,0.7538461538461538,0.7596899224806202,0.9678756476683937,3.6003,268.03,4.444,30.0
2024_gpt4o_span_with_symptom_dataset,2,span,4o,False,True,0.10600897669792175,0.71875,0.7076923076923077,0.7131782945736435,0.9616580310880829,3.5766,269.809,4.474,30.0
2024_gpt4o_span_with_symptom_dataset,3,span,4o,False,True,0.1034364253282547,0.746031746031746,0.7230769230769231,0.7343749999999999,0.9647668393782384,3.5701,270.302,4.482,30.0
2024_gpt4o_span_with_symptom_dataset,4,span,4o,False,True,0.10169626772403717,0.7575757575757576,0.7692307692307693,0.7633587786259541,0.9678756476683937,3.5784,269.677,4.471,30.0
2024_gpt4o_span_with_symptom_dataset,5,span,4o,False,True,0.09938064962625504,0.7627118644067796,0.6923076923076923,0.7258064516129032,0.9647668393782384,3.5915,268.691,4.455,30.0
2024_gpt4o_span_with_symptom_dataset,0,span,4o,False,True,0.10792111605405807,0.6712328767123288,0.7538461538461538,0.7101449275362318,0.9585492227979274,3.5672,270.521,4.485,30.0
2024_gpt4o_span_with_symptom_dataset,1,span,4o,False,True,0.09784356504678726,0.7313432835820896,0.7538461538461538,0.7424242424242424,0.9647668393782384,3.5929,268.588,4.453,30.0
2024_gpt4o_span_with_symptom_dataset,2,span,4o,False,True,0.10741376876831055,0.7580645161290323,0.7230769230769231,0.7401574803149606,0.9658031088082901,3.5675,270.496,4.485,30.0
2024_gpt4o_span_with_symptom_dataset,3,span,4o,False,True,0.10930576175451279,0.7419354838709677,0.7076923076923077,0.7244094488188977,0.9637305699481865,3.5846,269.207,4.464,30.0
