dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_tweet_only,3,None,No,False,False,0.12679515779018402,0.7,0.5384615384615384,0.608695652173913,0.9533678756476683,3.5929,268.584,4.453,30.0
2024_tweet_only,4,None,No,False,False,0.10924109071493149,0.7288135593220338,0.6615384615384615,0.6935483870967741,0.960621761658031,3.6094,267.359,4.433,30.0
2024_tweet_only,5,None,No,False,False,0.11806295812129974,0.7547169811320755,0.6153846153846154,0.6779661016949153,0.960621761658031,3.5896,268.835,4.457,30.0
2024_tweet_only,6,None,No,False,False,0.12370214611291885,0.7068965517241379,0.6307692307692307,0.6666666666666666,0.9575129533678757,3.5942,268.486,4.452,30.0
2024_tweet_only,7,None,No,False,False,0.127168670296669,0.7,0.6461538461538462,0.6719999999999999,0.9575129533678757,3.6022,267.893,4.442,30.0
2024_tweet_only,8,None,No,False,False,0.1175587996840477,0.75,0.5538461538461539,0.6371681415929203,0.9575129533678757,3.5994,268.097,4.445,30.0
2024_tweet_only,0,None,No,False,False,0.12939764559268951,0.7659574468085106,0.5538461538461539,0.6428571428571429,0.9585492227979274,3.5965,268.317,4.449,30.0
2024_tweet_only,1,None,No,False,False,0.11533354967832565,0.7547169811320755,0.6153846153846154,0.6779661016949153,0.960621761658031,3.6039,267.764,4.44,30.0
2024_tweet_only,2,None,No,False,False,0.1112273558974266,0.7735849056603774,0.6307692307692307,0.6949152542372882,0.9626943005181348,3.6071,267.531,4.436,30.0
2024_tweet_only,3,None,No,False,False,0.12008748948574066,0.7755102040816326,0.5846153846153846,0.6666666666666666,0.960621761658031,3.5926,268.611,4.454,30.0
