dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,0,span,No,True,True,0.03664054349064827,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9949562443419407,2.0121,479.587,7.952,50.0
dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,0,span,No,True,True,0.03664054349064827,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9949562443419407,1.9775,487.991,8.091,50.0
dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,0,span,No,True,True,0.03664054349064827,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9949562443419407,2.0213,477.423,7.916,50.0
dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,0,span,No,True,True,0.03664054349064827,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9949562443419407,2.0126,479.477,7.95,50.0
dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,0,span,No,True,True,0.03664054349064827,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9949562443419407,2.0184,478.102,7.927,50.0
dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,0,span,No,True,True,0.03664054349064827,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9949562443419407,2.0068,480.876,7.973,50.0
dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,0,span,No,True,True,0.03664054349064827,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9949562443419407,2.0592,468.631,7.77,50.0
dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,0,span,No,True,True,0.03664054349064827,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9949562443419407,1.9983,482.907,8.007,50.0
dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,0,span,No,True,True,0.03664054349064827,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9949562443419407,2.0245,476.651,7.903,50.0
dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,0,span,No,True,True,0.03664054349064827,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9949562443419407,2.0149,478.94,7.941,50.0
dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,0,span,No,True,True,0.03664054349064827,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9949562443419407,2.0085,480.467,7.966,50.0
dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,0,span,No,True,True,0.03664054349064827,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9949562443419407,2.0589,468.687,7.771,50.0
dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,0,span,No,True,True,0.03664054349064827,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9949562443419407,2.0262,476.266,7.897,50.0
