dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt35_context,0,context,3.5,False,False,0.03876613825559616,0.5754716981132075,0.5596330275229358,0.5674418604651162,0.9938932477872686,3.1944,302.092,5.009,50.0
2024_gpt35_context,1,context,3.5,False,False,0.04280843213200569,0.6095238095238096,0.5871559633027523,0.5981308411214953,0.9945889537355544,3.6288,265.931,4.409,50.0
2024_gpt35_context,2,context,3.5,False,False,0.04748810455203056,0.6036036036036037,0.6146788990825688,0.6090909090909091,0.9945503034050941,3.1452,306.813,5.087,50.0
2024_gpt35_context,3,context,3.5,False,False,0.04246463626623154,0.5945945945945946,0.6055045871559633,0.6,0.9946276040660148,3.1357,307.746,5.103,50.0
2024_gpt35_context,4,context,3.5,False,False,0.045324042439460754,0.5981308411214953,0.5871559633027523,0.5925925925925924,0.9939318981177289,3.1266,308.645,5.117,50.0
2024_gpt35_context,5,context,3.5,False,False,0.0459902286529541,0.5391304347826087,0.5688073394495413,0.5535714285714285,0.9943184014223322,3.089,312.397,5.18,50.0
2024_gpt35_context,6,context,3.5,False,False,0.04276329651474953,0.5925925925925926,0.5871559633027523,0.5898617511520737,0.9941251497700305,1.7524,550.677,9.13,50.0
2024_gpt35_context,1,context,3.5,False,False,0.04750498756766319,0.5636363636363636,0.5688073394495413,0.5662100456621004,0.993584045143586,1.7045,566.136,9.387,50.0
2024_gpt35_context,1,context,3.5,False,False,0.049442145973443985,0.6363636363636364,0.5779816513761468,0.6057692307692307,0.9940478491091099,1.7154,562.551,9.327,50.0
2024_gpt35_context,1,context,3.5,False,False,0.04486395791172981,0.5663716814159292,0.5871559633027523,0.5765765765765767,0.9937386464654273,1.8094,533.339,8.843,50.0
