dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt35_span,0,span,3.5,False,False,0.044195715337991714,0.6161616161616161,0.5596330275229358,0.5865384615384615,0.9946132382576345,3.1085,310.439,5.147,50.0
2024_gpt35_span,1,span,3.5,False,False,0.03981994464993477,0.559322033898305,0.6055045871559633,0.5814977973568283,0.9943807161680359,3.1334,307.97,5.106,50.0
2024_gpt35_span,2,span,3.5,False,False,0.03767215833067894,0.5092592592592593,0.5045871559633027,0.5069124423963133,0.9933343667648427,3.0911,312.187,5.176,50.0
2024_gpt35_span,3,span,3.5,False,False,0.046823643147945404,0.5321100917431193,0.5321100917431193,0.5321100917431193,0.9939931793520385,3.0928,312.014,5.173,50.0
2024_gpt35_span,4,span,3.5,False,False,0.044141367077827454,0.5080645161290323,0.5779816513761468,0.5407725321888411,0.9939931793520385,3.1691,304.506,5.049,50.0
2024_gpt35_span,5,span,3.5,False,False,0.04391086474061012,0.4883720930232558,0.5779816513761468,0.5294117647058824,0.9932568594016432,3.1172,309.572,5.133,50.0
2024_gpt35_span,6,span,3.5,False,False,0.032214757055044174,0.5495495495495496,0.5596330275229358,0.5545454545454546,0.9939931793520385,1.7814,541.71,8.982,50.0
2024_gpt35_span,7,span,3.5,False,False,0.0447661392390728,0.5566037735849056,0.5412844036697247,0.5488372093023256,0.9943032088048365,1.7503,551.326,9.141,50.0
2024_gpt35_span,1,span,3.5,False,False,0.047627970576286316,0.58,0.5321100917431193,0.5550239234449761,0.9939156719888389,1.7204,560.903,9.3,50.0
2024_gpt35_span,1,span,3.5,False,False,0.03565084561705589,0.5714285714285714,0.5871559633027523,0.579185520361991,0.9939156719888389,1.7324,557.045,9.236,50.0
2024_gpt35_span,1,span,3.5,False,False,0.04696483537554741,0.488,0.5596330275229358,0.5213675213675213,0.9935281351728414,1.7602,548.223,9.09,50.0
