dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context,0,context,4o,False,False,0.04743067920207977,0.5480769230769231,0.5229357798165137,0.5352112676056338,0.9942411007614115,1.8812,512.974,8.505,50.0
2024_gpt4o_context,1,context,4o,False,False,0.050574999302625656,0.5254237288135594,0.5688073394495413,0.5462555066079297,0.9940864994395702,3.287,293.581,4.868,50.0
2024_gpt4o_context,2,context,4o,False,False,0.04972459748387337,0.5742574257425742,0.5321100917431193,0.5523809523809524,0.9942797510918718,3.2489,297.02,4.925,50.0
2024_gpt4o_context,3,context,4o,False,False,0.04669894278049469,0.5660377358490566,0.5504587155963303,0.5581395348837208,0.9942797510918718,3.2538,296.579,4.917,50.0
2024_gpt4o_context,4,context,4o,False,False,0.04210740327835083,0.5754716981132075,0.5596330275229358,0.5674418604651162,0.9945889537355544,3.2596,296.051,4.909,50.0
2024_gpt4o_context,5,context,4o,False,False,0.05028703063726425,0.5959595959595959,0.5412844036697247,0.5673076923076923,0.9942797510918718,3.2233,299.384,4.964,50.0
2024_gpt4o_context,6,context,4o,False,False,0.04678092524409294,0.6020408163265306,0.5412844036697247,0.5700483091787439,0.9943957020832528,1.7695,545.357,9.042,50.0
2024_gpt4o_context,7,context,4o,False,False,0.048145368695259094,0.5370370370370371,0.5321100917431193,0.5345622119815668,0.9940864994395702,1.7729,544.3,9.025,50.0
2024_gpt4o_context,8,context,4o,False,False,0.046067360788583755,0.5309734513274337,0.5504587155963303,0.5405405405405406,0.9942797510918718,1.7801,542.091,8.988,50.0
2024_gpt4o_context,9,context,4o,False,False,0.04495954141020775,0.6451612903225806,0.5504587155963303,0.594059405940594,0.9944730027441735,1.8317,526.824,8.735,50.0
