dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context_tweet_only_with_drug_dataset,0,context,No,True,False,0.044843412935733795,0.5166666666666667,0.5688073394495413,0.5414847161572053,0.9937386464654273,3.0541,315.97,5.239,50.0
2024_gpt4o_context_tweet_only_with_drug_dataset,1,context,No,True,False,0.045945730060338974,0.5084745762711864,0.5504587155963303,0.5286343612334802,0.993699996134967,3.1125,310.041,5.141,50.0
2024_gpt4o_context_tweet_only_with_drug_dataset,2,context,No,True,False,0.03839346021413803,0.47794117647058826,0.5963302752293578,0.5306122448979591,0.9935067444826653,3.0753,313.793,5.203,50.0
2024_gpt4o_context_tweet_only_with_drug_dataset,3,context,No,True,False,0.038678642362356186,0.6020408163265306,0.5412844036697247,0.5700483091787439,0.9941638001004909,3.0613,315.227,5.227,50.0
2024_gpt4o_context_tweet_only_with_drug_dataset,4,context,No,True,False,0.04183268919587135,0.4864864864864865,0.4954128440366973,0.4909090909090909,0.9938545974568083,3.0887,312.43,5.18,50.0
2024_gpt4o_context_tweet_only_with_drug_dataset,5,context,No,True,False,0.04677114635705948,0.496,0.5688073394495413,0.5299145299145299,0.993352143160824,3.1122,310.066,5.141,50.0
2024_gpt4o_context_tweet_only_with_drug_dataset,6,context,No,True,False,0.04277621954679489,0.5043478260869565,0.5321100917431193,0.5178571428571428,0.9937386464654273,1.7362,555.821,9.216,50.0
2024_gpt4o_context_tweet_only_with_drug_dataset,7,context,No,True,False,0.044568467885255814,0.5842696629213483,0.47706422018348627,0.5252525252525253,0.9936226954740464,1.8301,527.282,8.743,50.0
2024_gpt4o_context_tweet_only_with_drug_dataset,8,context,No,True,False,0.04501340538263321,0.5405405405405406,0.5504587155963303,0.5454545454545454,0.9938545974568083,1.749,551.748,9.148,50.0
2024_gpt4o_context_tweet_only_with_drug_dataset,9,context,No,True,False,0.04256098344922066,0.5607476635514018,0.5504587155963303,0.5555555555555556,0.9941638001004909,1.7108,564.056,9.352,50.0
