dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_mini_context,0,context,4o-mini,False,False,0.039233818650245667,0.543859649122807,0.5688073394495413,0.5560538116591929,0.994666254396475,3.2493,296.987,4.924,50.0
2024_gpt4o_mini_context,1,context,4o-mini,False,False,0.05090450868010521,0.5087719298245614,0.5321100917431193,0.5201793721973094,0.9936613458045066,3.2822,294.013,4.875,50.0
2024_gpt4o_mini_context,2,context,4o-mini,False,False,0.04161377251148224,0.488,0.5596330275229358,0.5213675213675213,0.9933134928303637,3.2658,295.487,4.899,50.0
2024_gpt4o_mini_context,3,context,4o-mini,False,False,0.04847204312682152,0.5357142857142857,0.5504587155963303,0.5429864253393665,0.9939705484481892,3.2219,299.514,4.966,50.0
2024_gpt4o_mini_context,4,context,4o-mini,False,False,0.048325326293706894,0.4701492537313433,0.5779816513761468,0.5185185185185186,0.9934294438217447,3.2647,295.583,4.901,50.0
2024_gpt4o_mini_context,5,context,4o-mini,False,False,0.04805811494588852,0.5132743362831859,0.5321100917431193,0.5225225225225225,0.9935453948131256,3.2643,295.626,4.902,50.0
2024_gpt4o_mini_context,6,context,4o-mini,False,False,0.04659474268555641,0.5480769230769231,0.5229357798165137,0.5352112676056338,0.9941638001004909,1.7846,540.726,8.965,50.0
2024_gpt4o_mini_context,7,context,4o-mini,False,False,0.050391584634780884,0.5922330097087378,0.5596330275229358,0.5754716981132075,0.9943184014223322,1.7712,544.818,9.033,50.0
2024_gpt4o_mini_context,8,context,4o-mini,False,False,0.04262252151966095,0.5081967213114754,0.5688073394495413,0.5367965367965368,0.9942024504309512,1.7557,549.623,9.113,50.0
2024_gpt4o_mini_context,9,context,4o-mini,False,False,0.04807760939002037,0.4918032786885246,0.5504587155963303,0.5194805194805195,0.993236192169443,1.7726,544.413,9.027,50.0
