dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_mini_span,0,span,4o-mini,False,False,0.047297026962041855,0.5728155339805825,0.5412844036697247,0.5566037735849056,0.9939957389114855,3.2433,297.538,4.933,50.0
2024_gpt4o_mini_span,1,span,4o-mini,False,False,0.046955518424510956,0.5904761904761905,0.5688073394495413,0.5794392523364487,0.9941506875847376,3.2798,294.223,4.878,50.0
2024_gpt4o_mini_span,2,span,4o-mini,False,False,0.0454392209649086,0.6153846153846154,0.5871559633027523,0.6009389671361502,0.9946155336044935,3.3302,289.776,4.805,50.0
2024_gpt4o_mini_span,3,span,4o-mini,False,False,0.04701234772801399,0.5978260869565217,0.5045871559633027,0.5472636815920398,0.9944605849312416,3.2476,297.145,4.927,50.0
2024_gpt4o_mini_span,4,span,4o-mini,False,False,0.04877186939120293,0.5728155339805825,0.5412844036697247,0.5566037735849056,0.9939570017431726,3.3078,291.734,4.837,50.0
2024_gpt4o_mini_span,5,span,4o-mini,False,False,0.04586559534072876,0.5765765765765766,0.5871559633027523,0.5818181818181819,0.9946930079411195,3.2233,299.382,4.964,50.0
2024_gpt4o_mini_span,6,span,4o-mini,False,False,0.04342684522271156,0.5163934426229508,0.5779816513761468,0.5454545454545453,0.9939570017431726,1.7556,549.668,9.114,50.0
2024_gpt4o_mini_span,7,span,4o-mini,False,False,0.04850590229034424,0.5670103092783505,0.5045871559633027,0.5339805825242718,0.9941894247530505,1.8073,533.949,8.853,50.0
2024_gpt4o_mini_span,8,span,4o-mini,False,False,0.04443519935011864,0.5794392523364486,0.5688073394495413,0.5740740740740741,0.9945767964361805,1.7671,546.1,9.055,50.0
2024_gpt4o_mini_span,9,span,4o-mini,False,False,0.04520995169878006,0.5405405405405406,0.5504587155963303,0.5454545454545454,0.9941506875847376,1.7976,536.824,8.901,50.0
