dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_mini_span_with_context,0,span/context,4o-mini,False,False,0.04840202257037163,0.5185185185185185,0.5137614678899083,0.5161290322580645,0.9937633159016076,2.8034,344.223,5.707,50.0
2024_gpt4o_mini_span_with_context,1,span/context,4o-mini,False,False,0.03676607459783554,0.5700934579439252,0.5596330275229358,0.5648148148148148,0.9948866937826845,3.2379,298.032,4.941,50.0
2024_gpt4o_mini_span_with_context,2,span/context,4o-mini,False,False,0.0451558455824852,0.5757575757575758,0.5229357798165137,0.548076923076923,0.9943056362579895,3.261,295.918,4.906,50.0
2024_gpt4o_mini_span_with_context,3,span/context,4o-mini,False,False,0.05073576793074608,0.5979381443298969,0.5321100917431193,0.5631067961165048,0.9940344760797986,3.2787,294.328,4.88,50.0
2024_gpt4o_mini_span_with_context,4,span/context,4o-mini,False,False,0.04171694070100784,0.5523809523809524,0.5321100917431193,0.5420560747663551,0.9939957389114855,3.2456,297.329,4.93,50.0
2024_gpt4o_mini_span_with_context,5,span/context,4o-mini,False,False,0.04553651064634323,0.5084745762711864,0.5504587155963303,0.5286343612334802,0.9936471043966686,1.7843,540.825,8.967,50.0
2024_gpt4o_mini_span_with_context,6,span/context,4o-mini,False,False,0.04567907378077507,0.5955056179775281,0.48623853211009177,0.5353535353535354,0.9946155336044935,1.7781,542.707,8.998,50.0
2024_gpt4o_mini_span_with_context,7,span/context,4o-mini,False,False,0.04904382303357124,0.5833333333333334,0.5137614678899083,0.5463414634146342,0.9941894247530505,1.7832,541.152,8.972,50.0
2024_gpt4o_mini_span_with_context,8,span/context,4o-mini,False,False,0.04878117889165878,0.5688073394495413,0.5688073394495413,0.5688073394495413,0.9942281619213635,1.7811,541.787,8.983,50.0
2024_gpt4o_mini_span_with_context,9,span/context,4o-mini,False,False,0.03647278994321823,0.525,0.5779816513761468,0.5502183406113537,0.9939957389114855,1.7973,536.916,8.902,50.0
